BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2015-10-17 15:09,v1.1-52-g86472b9,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.79,19.40,188.26,12.93,197,120,1.00,0.00,600
2015-10-17 15:10,v1.1-52-g86472b9,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.52,16.10,143.85,33.64,642,60,1.50,0.00,600
2015-10-17 15:10,v1.1-52-g86472b9,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.28,9.25,69.66,28.61,331,120,2.00,0.00,600
2015-10-17 15:11,v1.1-52-g86472b9,EZA_EWH,2009-01-01,2014-12-31,1M,531453,1505,1.02,17.24,158.50,27.51,225,20,1.50,0.00,600
2015-10-17 15:12,v1.1-52-g86472b9,NX_IR,2009-01-01,2014-12-31,1M,580882,1505,0.70,18.35,173.48,29.35,430,120,2.00,0.00,600
2015-10-17 15:12,v1.1-52-g86472b9,LEN_UFPI,2009-01-01,2014-12-31,1M,583348,1505,0.67,18.78,179.52,21.87,210,80,1.50,0.00,600
2015-10-17 15:12,v1.1-52-g86472b9,WTS_CVCO,2009-01-01,2014-12-31,1M,370901,1505,1.23,28.80,353.44,15.10,130,40,1.50,0.00,600
2015-10-17 15:13,v1.1-52-g86472b9,IILG_FLY,2009-01-01,2014-12-31,1M,307564,1505,0.01,-100.00,-100.00,102.63,373,20,2.00,0.00,600
2015-10-17 15:13,v1.1-52-g86472b9,CEB_GPX,2009-01-01,2014-12-31,1M,364342,1505,0.54,16.24,145.69,34.96,406,20,1.00,0.00,600
2015-10-17 15:13,v1.1-52-g86472b9,CRH_MLM,2009-01-01,2014-12-31,1M,494938,1505,0.52,13.76,115.94,15.53,286,20,1.50,0.00,600
2015-10-17 15:14,v1.1-52-g86472b9,ACC_BIP,2009-01-01,2014-12-31,1M,520207,1505,0.54,12.60,103.15,22.65,274,20,1.00,0.00,600
2015-10-17 15:14,v1.1-52-g86472b9,IHF_USPH,2009-01-01,2014-12-31,1M,140577,1505,1.24,27.66,329.82,21.35,328,20,1.50,0.00,600
2015-10-17 15:14,v1.1-52-g86472b9,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.38,21.12,214.05,11.66,137,20,1.00,0.00,600
2015-10-17 15:15,v1.1-52-g86472b9,XRAY_MR,2009-01-01,2014-12-31,1M,544472,1505,1.18,29.52,368.61,21.99,181,40,1.00,0.00,600
2015-10-17 15:15,v1.1-52-g86472b9,RS_WCC,2009-01-01,2014-12-31,1M,528404,1505,1.36,28.79,353.07,20.63,74,40,1.50,0.00,600
