BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2015-10-17 15:16,v1.1-52-g86472b9,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.79,19.40,188.26,12.93,197,120,1.00,0.00,600
2015-10-17 15:17,v1.1-52-g86472b9,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.47,14.73,127.22,33.64,642,60,1.50,0.00,600
2015-10-17 15:17,v1.1-52-g86472b9,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.28,9.25,69.66,28.61,331,120,2.00,0.00,600
2015-10-17 15:18,v1.1-52-g86472b9,EZA_EWH,2009-01-01,2014-12-31,1M,531453,1505,1.02,17.24,158.50,27.51,225,20,1.50,0.00,600
2015-10-17 15:18,v1.1-52-g86472b9,NX_IR,2009-01-01,2014-12-31,1M,580882,1505,0.70,18.35,173.48,29.35,430,120,2.00,0.00,600
2015-10-17 15:19,v1.1-52-g86472b9,LEN_UFPI,2009-01-01,2014-12-31,1M,583348,1505,0.69,19.37,187.86,21.87,210,80,1.50,0.00,600
2015-10-17 15:19,v1.1-52-g86472b9,WTS_CVCO,2009-01-01,2014-12-31,1M,370901,1505,1.15,26.69,310.79,15.10,130,40,1.50,0.00,600
2015-10-17 15:19,v1.1-52-g86472b9,IILG_FLY,2009-01-01,2014-12-31,1M,307564,1505,0.01,-100.00,-100.00,102.63,373,20,2.00,0.00,600
2015-10-17 15:20,v1.1-52-g86472b9,CEB_GPX,2009-01-01,2014-12-31,1M,364342,1505,0.53,16.09,143.80,34.96,406,20,1.00,0.00,600
2015-10-17 15:20,v1.1-52-g86472b9,CRH_MLM,2009-01-01,2014-12-31,1M,494938,1505,0.49,13.14,109.08,15.53,286,20,1.50,0.00,600
2015-10-17 15:20,v1.1-52-g86472b9,ACC_BIP,2009-01-01,2014-12-31,1M,520207,1505,0.55,12.83,105.64,22.65,274,20,1.00,0.00,600
2015-10-17 15:21,v1.1-52-g86472b9,IHF_USPH,2009-01-01,2014-12-31,1M,140577,1505,1.26,28.05,337.76,21.35,328,20,1.50,0.00,600
2015-10-17 15:21,v1.1-52-g86472b9,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.43,21.60,221.48,11.66,137,20,1.00,0.00,600
2015-10-17 15:22,v1.1-52-g86472b9,XRAY_MR,2009-01-01,2014-12-31,1M,544472,1505,1.18,29.52,368.61,21.99,181,40,1.00,0.00,600
2015-10-17 15:22,v1.1-52-g86472b9,RS_WCC,2009-01-01,2014-12-31,1M,528404,1505,1.33,28.16,340.10,20.63,74,40,1.50,0.00,600
