BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2015-09-28 06:08,v1.1-42-g1b0909d,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.79,19.40,188.26,12.93,197,120,1.00,0.00,600
2015-09-28 06:09,v1.1-42-g1b0909d,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.52,16.10,143.85,33.64,642,60,1.50,0.00,600
2015-09-28 06:09,v1.1-42-g1b0909d,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.28,9.25,69.66,28.61,331,120,2.00,0.00,600
2015-09-28 06:10,v1.1-42-g1b0909d,EZA_EWH,2009-01-01,2014-12-31,1M,531453,1505,1.02,17.24,158.50,27.51,225,20,1.50,0.00,600
2015-09-28 06:10,v1.1-42-g1b0909d,NX_IR,2009-01-01,2014-12-31,1M,580882,1505,0.70,18.35,173.48,29.35,430,120,2.00,0.00,600
2015-09-28 06:11,v1.1-42-g1b0909d,LEN_UFPI,2009-01-01,2014-12-31,1M,583348,1505,0.67,18.78,179.52,21.87,210,80,1.50,0.00,600
2015-09-28 06:11,v1.1-42-g1b0909d,WTS_CVCO,2009-01-01,2014-12-31,1M,370901,1505,1.23,28.80,353.44,15.10,130,40,1.50,0.00,600
2015-09-28 06:11,v1.1-42-g1b0909d,IILG_FLY,2009-01-01,2014-12-31,1M,307564,1505,0.01,-100.00,-100.00,102.63,373,20,2.00,0.00,600
2015-09-28 06:12,v1.1-42-g1b0909d,CEB_GPX,2009-01-01,2014-12-31,1M,364342,1505,0.54,16.24,145.69,34.96,406,20,1.00,0.00,600
2015-09-28 06:12,v1.1-42-g1b0909d,CRH_MLM,2009-01-01,2014-12-31,1M,494938,1505,0.52,13.76,115.94,15.53,286,20,1.50,0.00,600
2015-09-28 06:13,v1.1-42-g1b0909d,ACC_BIP,2009-01-01,2014-12-31,1M,520207,1505,0.54,12.60,103.15,22.65,274,20,1.00,0.00,600
2015-09-28 06:13,v1.1-42-g1b0909d,IHF_USPH,2009-01-01,2014-12-31,1M,140577,1505,1.24,27.66,329.82,21.35,328,20,1.50,0.00,600
2015-09-28 06:14,v1.1-42-g1b0909d,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.38,21.12,214.05,11.66,137,20,1.00,0.00,600
2015-09-28 06:14,v1.1-42-g1b0909d,XRAY_MR,2009-01-01,2014-12-31,1M,544472,1505,1.18,29.52,368.61,21.99,181,40,1.00,0.00,600
2015-09-28 06:15,v1.1-42-g1b0909d,RS_WCC,2009-01-01,2014-12-31,1M,528404,1505,1.36,28.79,353.07,20.63,74,40,1.50,0.00,600
2015-09-28 06:16,v1.1-42-g1b0909d,DHR_WAT,2009-01-01,2014-12-31,1M,582274,1505,0.67,18.14,170.57,15.11,207,120,1.50,0.00,600
2015-09-28 06:16,v1.1-42-g1b0909d,MVF_BHK,2009-01-01,2014-12-31,1M,145391,1505,0.02,4.66,31.29,17.71,1449,80,1.00,0.00,600
2015-09-28 06:17,v1.1-42-g1b0909d,PNR_DOX,2009-01-01,2014-12-31,1M,547067,1505,0.48,11.51,91.68,10.60,199,40,1.50,0.00,600
2015-09-28 06:17,v1.1-42-g1b0909d,MSCC_PRGS,2009-01-01,2014-12-31,1M,480012,1505,0.36,15.67,138.53,74.61,816,60,1.00,0.00,600
2015-09-28 06:18,v1.1-42-g1b0909d,ALKS_MNTA,2009-01-01,2014-12-31,1M,520717,1505,0.74,29.01,357.71,28.33,471,40,1.50,0.00,600
2015-09-28 06:18,v1.1-42-g1b0909d,BRKR_ININ,2009-01-01,2014-12-31,1M,490557,1505,0.49,17.92,167.57,50.56,832,20,1.00,0.00,600
2015-09-28 06:19,v1.1-42-g1b0909d,HOT_AAWW,2009-01-01,2014-12-31,1M,580529,1505,0.69,20.26,200.89,24.68,539,20,1.50,0.00,600
2015-09-28 06:20,v1.1-42-g1b0909d,LH_STE,2009-01-01,2014-12-31,1M,556371,1505,0.32,7.88,57.31,9.38,115,40,1.00,0.00,600
2015-09-28 06:20,v1.1-42-g1b0909d,CXO_TCP,2009-01-01,2014-12-31,1M,556329,1505,0.25,7.78,56.45,31.94,230,80,1.50,0.00,600
2015-09-28 06:20,v1.1-42-g1b0909d,ABG_IX,2009-01-01,2014-12-31,1M,426131,1505,-0.52,-100.00,-100.00,109.86,62,20,1.00,0.00,600
