BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2015-09-28 06:41,v1.1-44-g6054340,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.68,15.04,130.85,13.79,341,120,1.00,0.00,600
2015-09-28 06:41,v1.1-44-g6054340,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.32,10.23,78.86,32.20,642,60,1.50,0.00,600
2015-09-28 06:42,v1.1-44-g6054340,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.39,12.66,103.78,36.97,313,120,2.00,0.00,600
2015-09-28 06:42,v1.1-44-g6054340,EZA_EWH,2009-01-01,2014-12-31,1M,531453,1505,0.08,5.41,37.02,30.41,351,20,1.50,0.00,600
2015-09-28 06:43,v1.1-44-g6054340,NX_IR,2009-01-01,2014-12-31,1M,580882,1505,0.57,21.56,220.84,50.78,559,120,2.00,0.00,600
2015-09-28 06:44,v1.1-44-g6054340,LEN_UFPI,2009-01-01,2014-12-31,1M,583348,1505,0.39,13.43,112.20,48.01,732,80,1.50,0.00,600
2015-09-28 06:44,v1.1-44-g6054340,WTS_CVCO,2009-01-01,2014-12-31,1M,370901,1505,1.26,34.71,492.67,20.91,146,40,1.50,0.00,600
2015-09-28 06:44,v1.1-44-g6054340,IILG_FLY,2009-01-01,2014-12-31,1M,307564,1505,0.35,-100.00,-100.00,107.14,82,20,2.00,0.00,600
2015-09-28 06:44,v1.1-44-g6054340,CEB_GPX,2009-01-01,2014-12-31,1M,364342,1505,0.66,17.04,155.92,24.82,407,20,1.00,0.00,600
2015-09-28 06:45,v1.1-44-g6054340,CRH_MLM,2009-01-01,2014-12-31,1M,494938,1505,0.15,5.02,34.00,46.45,1349,20,1.50,0.00,600
2015-09-28 06:46,v1.1-44-g6054340,ACC_BIP,2009-01-01,2014-12-31,1M,520207,1505,0.11,3.97,26.20,19.02,720,20,1.00,0.00,600
2015-09-28 06:46,v1.1-44-g6054340,IHF_USPH,2009-01-01,2014-12-31,1M,140577,1505,0.80,13.77,116.05,9.01,259,20,1.50,0.00,600
2015-09-28 06:46,v1.1-44-g6054340,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,20.44,203.62,10.11,116,20,1.00,0.00,600
2015-09-28 06:47,v1.1-44-g6054340,XRAY_MR,2009-01-01,2014-12-31,1M,544472,1505,1.12,27.32,323.08,17.68,171,40,1.00,0.00,600
2015-09-28 06:47,v1.1-44-g6054340,RS_WCC,2009-01-01,2014-12-31,1M,528404,1505,1.02,23.61,254.64,18.68,135,40,1.50,0.00,600
