BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,StrategyParams
2016-07-31 17:39,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.00,4.53,12.08,31.45,317,"StatArbParams(lookbackWindow=20, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:39,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.01,4.38,11.66,31.16,317,"StatArbParams(lookbackWindow=20, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:37,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.02,4.28,11.39,29.49,317,"StatArbParams(lookbackWindow=20, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:36,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.06,5.04,13.49,28.87,276,"StatArbParams(lookbackWindow=20, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:38,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.06,5.37,14.43,31.35,317,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:36,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.07,5.16,13.83,31.19,317,"StatArbParams(lookbackWindow=20, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:40,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.08,0.93,2.41,29.58,667,"StatArbParams(lookbackWindow=40, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:38,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.08,5.62,15.13,31.58,317,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:38,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.09,6.07,16.40,30.37,317,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:37,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.10,6.19,16.73,31.25,317,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:37,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.11,6.42,17.37,33.04,317,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:40,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.12,-0.43,-1.09,32.24,666,"StatArbParams(lookbackWindow=40, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:40,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.12,-0.51,-1.31,32.79,666,"StatArbParams(lookbackWindow=40, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:41,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.12,0.93,2.40,30.20,650,"StatArbParams(lookbackWindow=40, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:36,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.12,6.47,17.53,28.91,317,"StatArbParams(lookbackWindow=20, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:43,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.13,1.70,4.43,20.82,432,"StatArbParams(lookbackWindow=40, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:40,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.14,-0.26,-0.67,31.33,667,"StatArbParams(lookbackWindow=40, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:37,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,0.14,7.09,19.28,32.15,317,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:41,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.15,0.05,0.12,33.30,651,"StatArbParams(lookbackWindow=40, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 17:38,v1.2-35-g789b1ec,ABG_IX,2014-01-01,2016-12-31,1M,176154,649,-0.15,1.33,3.46,33.53,317,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
