BTDate,Pairs,StartDate,EndDate,BarFreq,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,lookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,-0.19,0.33,1.33,23.36,705,10,1.00,0.00,600
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,0.39,10.60,49.51,19.37,296,20,1.00,0.00,600
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,1.29,28.86,175.16,11.53,244,40,1.00,0.00,600
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,1.58,34.57,227.16,15.32,172,60,1.00,0.00,600
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,1.29,28.11,168.85,13.84,112,80,1.00,0.00,600
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,0.90,20.64,111.47,20.17,331,100,1.00,0.00,600
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,0.87,20.27,108.96,20.01,348,120,1.00,0.00,600
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,1.00,23.25,130.37,17.00,206,150,1.00,0.00,600
2013-11-16 16:28,CNX_BHI,2009-01-01,2012-12-31,1D,1006,0.46,11.71,55.60,15.24,427,200,1.00,0.00,600
2013-11-16 16:28,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,0.08,4.62,19.77,19.63,490,10,1.00,0.00,600
2013-11-16 16:28,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,1.09,23.41,131.55,11.66,113,20,1.00,0.00,600
2013-11-16 16:28,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,1.17,23.18,129.82,8.92,91,40,1.00,0.00,600
2013-11-16 16:28,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,0.96,20.19,108.34,17.34,214,60,1.00,0.00,600
2013-11-16 16:28,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,0.77,16.86,86.29,17.34,425,80,1.00,0.00,600
2013-11-16 16:28,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,0.80,17.40,89.73,17.34,258,100,1.00,0.00,600
2013-11-16 16:28,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,0.94,20.71,111.98,17.34,337,120,1.00,0.00,600
2013-11-16 16:29,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,0.83,18.87,99.37,17.34,332,150,1.00,0.00,600
2013-11-16 16:29,MSCC_PRGS,2009-01-01,2012-12-31,1D,1006,0.82,18.42,96.37,17.34,206,200,1.00,0.00,600
2013-11-16 16:29,PPS_TITN,2009-01-01,2012-12-31,1D,1006,0.89,26.98,159.49,26.25,301,10,1.00,0.00,600
2013-11-16 16:29,PPS_TITN,2009-01-01,2012-12-31,1D,1006,0.95,28.83,174.94,16.87,143,20,1.00,0.00,600
2013-11-16 16:29,PPS_TITN,2009-01-01,2012-12-31,1D,1006,1.37,42.42,310.22,17.46,92,40,1.00,0.00,600
2013-11-16 16:29,PPS_TITN,2009-01-01,2012-12-31,1D,1006,0.96,27.75,165.85,22.15,122,60,1.00,0.00,600
2013-11-16 16:29,PPS_TITN,2009-01-01,2012-12-31,1D,1006,0.99,28.31,170.54,22.14,276,80,1.00,0.00,600
2013-11-16 16:29,PPS_TITN,2009-01-01,2012-12-31,1D,1006,0.79,22.74,126.57,20.01,285,100,1.00,0.00,600
2013-11-16 16:29,PPS_TITN,2009-01-01,2012-12-31,1D,1006,0.74,22.01,121.29,20.02,283,120,1.00,0.00,600
