BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,StrategyParams
2015-11-30 06:33,v1.1-72-gc19995f,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.27,7.59,54.83,15.09,388,"StatArbParams(lookbackWindow=120, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 06:34,v1.1-72-gc19995f,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.59,13.41,111.99,12.75,197,"StatArbParams(lookbackWindow=120, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
2015-11-30 06:35,v1.1-72-gc19995f,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.24,8.11,59.32,24.26,642,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 06:36,v1.1-72-gc19995f,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.25,8.41,61.94,30.14,677,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
2015-11-30 06:38,v1.1-72-gc19995f,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.34,11.13,87.80,36.97,312,"StatArbParams(lookbackWindow=120, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 06:39,v1.1-72-gc19995f,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.33,10.60,82.55,28.61,307,"StatArbParams(lookbackWindow=120, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
2015-11-30 06:40,v1.1-72-gc19995f,EZA_EWH,2009-01-01,2014-12-31,1M,531453,1505,0.07,5.23,35.62,30.40,351,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 06:41,v1.1-72-gc19995f,EZA_EWH,2009-01-01,2014-12-31,1M,531453,1505,1.06,17.68,164.39,27.30,225,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
2015-11-30 06:42,v1.1-72-gc19995f,NX_IR,2009-01-01,2014-12-31,1M,580882,1505,0.37,13.33,111.19,50.78,554,"StatArbParams(lookbackWindow=120, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=True)"
2015-11-30 06:43,v1.1-72-gc19995f,NX_IR,2009-01-01,2014-12-31,1M,580882,1505,0.43,12.00,96.74,29.08,459,"StatArbParams(lookbackWindow=120, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5), logPrices=False)"
