BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,StrategyParams
2015-11-28 20:40,v1.1-69-gcf983b1,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.67,14.69,126.72,12.22,154,"StatArbParams(lookbackWindow=120, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=30, earningsCeaseFire=(-2, 5))"
2015-11-28 20:41,v1.1-69-gcf983b1,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.67,14.69,126.72,12.22,154,"StatArbParams(lookbackWindow=120, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=(-2, 5))"
2015-11-28 20:41,v1.1-69-gcf983b1,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.68,14.94,129.70,12.22,153,"StatArbParams(lookbackWindow=120, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=(-2, 5))"
2015-11-28 20:42,v1.1-69-gcf983b1,AMG_CFNL,2009-01-01,2014-12-31,1M,493128,1505,0.59,13.29,110.70,12.76,197,"StatArbParams(lookbackWindow=120, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5))"
2015-11-28 20:42,v1.1-69-gcf983b1,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.19,6.98,49.60,30.51,677,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=30, earningsCeaseFire=(-2, 5))"
2015-11-28 20:43,v1.1-69-gcf983b1,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.19,6.98,49.60,30.51,677,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=(-2, 5))"
2015-11-28 20:43,v1.1-69-gcf983b1,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.22,7.85,57.06,30.29,677,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=(-2, 5))"
2015-11-28 20:43,v1.1-69-gcf983b1,PPS_TITN,2009-01-01,2014-12-31,1M,480951,1505,0.25,8.41,61.94,30.14,677,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5))"
2015-11-28 20:44,v1.1-69-gcf983b1,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.40,12.50,102.02,28.04,308,"StatArbParams(lookbackWindow=120, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=30, earningsCeaseFire=(-2, 5))"
2015-11-28 20:44,v1.1-69-gcf983b1,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.40,12.50,102.02,28.04,308,"StatArbParams(lookbackWindow=120, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=(-2, 5))"
2015-11-28 20:45,v1.1-69-gcf983b1,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.32,10.21,78.68,28.08,308,"StatArbParams(lookbackWindow=120, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=(-2, 5))"
2015-11-28 20:45,v1.1-69-gcf983b1,PMCS_SPIL,2009-01-01,2014-12-31,1M,540187,1505,0.33,10.60,82.55,28.61,307,"StatArbParams(lookbackWindow=120, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 5))"
2015-11-28 20:46,v1.1-69-gcf983b1,EZA_EWH,2009-01-01,2014-12-31,1M,531453,1505,0.95,16.35,147.03,27.33,213,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=30, earningsCeaseFire=(-2, 5))"
