BTDate,Pairs,StartDate,EndDate,BarFreq,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,lookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-11-18 13:50,NX_IR,2009-01-01,2014-11-07,1M,1470,0.95,28.62,334.24,37.48,464,60,1.00,0.00,600
2014-11-18 13:53,PPS_TITN,2009-01-01,2014-11-07,1M,1470,0.41,12.44,98.21,30.85,517,30,2.00,0.00,600
2014-11-18 13:57,CEB_GPX,2009-01-01,2014-11-07,1M,1470,1.43,36.93,525.59,18.04,131,60,1.75,0.00,600
2014-11-18 13:58,EZA_EWH,2009-01-01,2014-11-07,1M,1470,1.23,20.28,193.58,11.00,291,60,1.00,0.00,600
2014-11-18 14:00,AMG_CFNL,2009-01-01,2014-11-07,1M,1470,1.12,26.41,292.40,15.54,135,40,1.00,0.00,600
2014-11-18 14:01,HOT_AAWW,2009-01-01,2014-11-07,1M,1470,0.67,18.37,167.48,25.48,505,40,1.00,0.00,600
2014-11-18 14:04,LH_STE,2009-01-01,2014-11-07,1M,1470,0.52,12.89,102.85,21.82,449,100,1.00,0.00,600
2014-11-18 14:07,TAL_CGI,2009-01-01,2014-11-07,1M,1470,0.09,-8.91,-41.98,87.09,1535,20,1.75,0.00,600
2014-11-18 14:10,DHR_WAT,2009-01-01,2014-11-07,1M,1470,0.50,13.69,111.39,14.76,275,10,1.00,0.00,600
2014-11-18 14:11,MVF_BHK,2009-01-01,2014-11-07,1M,1470,1.48,18.64,171.00,4.82,153,40,1.50,0.00,600
2014-11-18 14:12,DBE_MORN,2009-01-01,2014-11-07,1M,1470,0.82,16.81,147.52,14.97,147,60,1.50,0.00,600
2014-11-18 14:14,TEVA_MR,2009-01-01,2014-11-07,1M,1470,1.11,27.58,314.08,31.39,230,80,1.00,0.00,600
2014-11-18 14:17,SLF_AMWD,2009-01-01,2014-11-07,1M,1470,0.71,19.53,183.13,26.09,373,60,2.00,0.00,600
2014-11-18 14:19,IBM_GLD,2009-01-01,2014-11-07,1M,1470,-0.24,1.33,8.00,17.47,918,40,1.50,0.00,600
2014-11-18 14:21,ABG_IX,2009-01-01,2014-11-07,1M,1470,1.15,41.13,646.02,32.94,138,20,1.00,0.00,600
2014-11-18 14:23,VT_EFT,2009-01-01,2014-11-07,1M,1470,-0.22,-3.85,-20.46,46.18,2336,100,2.00,0.00,600
2014-11-18 14:24,SLX_IIVI,2009-01-01,2014-11-07,1M,1470,-0.34,-100.00,-100.00,117.02,584,30,1.50,0.00,600
