BTDate,Pairs,StartDate,EndDate,BarFreq,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,lookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-11-01 17:21,MR_QTEC,2009-01-01,2013-12-31,1D,1258,-0.27,-2.64,-12.52,35.75,1041,40,1.00,0.00,600
2014-11-01 17:21,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.19,-0.68,-3.34,30.76,1041,40,1.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.93,-15.87,-57.80,64.43,920,10,1.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.99,-15.87,-57.81,64.48,920,10,1.50,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-1.08,-16.17,-58.55,61.90,1065,10,2.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.42,-5.76,-25.64,38.01,1041,20,1.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.62,-9.13,-37.98,43.81,1251,20,1.50,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.48,-5.37,-24.07,36.41,920,20,2.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.14,-0.10,-0.52,40.68,920,30,1.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.08,1.61,8.29,31.33,1005,30,1.50,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.41,-3.10,-14.55,32.92,1040,30,2.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.19,-0.68,-3.34,30.76,1041,40,1.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.00,3.34,17.81,27.42,578,40,1.50,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.13,1.60,8.25,26.99,495,40,2.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.08,1.97,10.21,31.01,920,60,1.00,0.00,600
2014-11-01 17:22,QTEC_MR,2009-01-01,2013-12-31,1D,1258,0.07,4.71,25.83,25.59,920,60,1.50,0.00,600
2014-11-01 17:23,QTEC_MR,2009-01-01,2013-12-31,1D,1258,0.21,6.97,39.98,24.57,788,60,2.00,0.00,600
2014-11-01 17:23,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.14,0.89,4.53,41.23,920,80,1.00,0.00,600
2014-11-01 17:23,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.18,0.60,3.02,38.79,920,80,1.50,0.00,600
2014-11-01 17:23,QTEC_MR,2009-01-01,2013-12-31,1D,1258,0.14,5.98,33.66,23.99,920,80,2.00,0.00,600
2014-11-01 17:23,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.38,-4.35,-19.93,40.04,929,100,1.00,0.00,600
2014-11-01 17:23,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.29,-1.88,-9.06,41.88,929,100,1.50,0.00,600
2014-11-01 17:23,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.54,-5.22,-23.46,38.53,947,100,2.00,0.00,600
2014-11-01 17:23,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.37,-4.08,-18.77,41.45,929,120,1.00,0.00,600
2014-11-01 17:24,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.26,-1.35,-6.57,39.80,929,120,1.50,0.00,600
2014-11-01 17:24,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.64,-6.94,-30.18,40.03,947,120,2.00,0.00,600
2014-11-01 17:24,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.28,-2.69,-12.72,39.44,929,140,1.00,0.00,600
2014-11-01 17:24,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.24,-1.26,-6.13,38.03,929,140,1.50,0.00,600
2014-11-01 17:24,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.56,-5.69,-25.36,37.75,947,140,2.00,0.00,600
2014-11-01 17:24,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.36,-4.35,-19.92,42.26,929,160,1.00,0.00,600
2014-11-01 17:25,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.25,-1.59,-7.68,41.09,929,160,1.50,0.00,600
2014-11-01 17:25,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.48,-4.74,-21.54,42.34,947,160,2.00,0.00,600
2014-11-01 17:25,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.34,-4.00,-18.42,42.90,929,180,1.00,0.00,600
2014-11-01 17:25,QTEC_MR,2009-01-01,2013-12-31,1D,1258,-0.16,0.15,0.76,42.53,929,180,1.50,0.00,600
