DateTime,Pair,ClosedPosROI,ClosedPosCnt,TradeCnt,InPosCapital,InPosROI0,InPosROI1,ROI
14-11-24 15:59:55,CRH_MLM,0.00,0,0,4707.59,-0.26,0.45,0.10
14-11-24 16:00:00,PPS_TITN,1.22,1,2,0.00,0.00,0.00,1.22
14-11-24 16:00:00,MSCC_PRGS,0.00,0,0,0.00,0.00,0.00,0.00
14-11-24 16:00:00,PMCS_SPIL,0.00,0,0,0.00,0.00,0.00,0.00
14-11-24 16:00:00,AZPN_MXIM,0.00,0,0,0.00,0.00,0.00,0.00
14-11-24 15:59:55,IHF_USPH,0.00,0,0,4482.96,-0.41,3.24,1.38
14-11-24 15:59:55,SSL_APD,0.00,0,0,5113.30,-1.21,0.30,-0.35
14-11-24 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-11-24 15:59:55,CEB_GPX,0.00,0,2,5568.82,-1.13,0.76,-0.19
14-11-24 15:59:55,CNX_BHI,0.00,0,0,6101.54,1.35,-0.34,0.56
14-11-24 16:00:00,EZA_EWH,0.00,0,0,4487.02,0.70,-0.27,0.22
14-11-24 15:59:55,ACC_BIP,0.00,0,0,4338.18,0.96,-0.26,0.35
14-11-24 16:00:00,IILG_FLY,-4.75,1,2,0.00,0.00,0.00,-4.75
14-11-25 15:59:55,CRH_MLM,0.88,1,2,0.00,0.00,0.00,0.88
14-11-25 16:00:00,PPS_TITN,0.00,0,0,0.00,0.00,0.00,0.00
14-11-25 16:00:00,MSCC_PRGS,0.00,0,0,0.00,0.00,0.00,0.00
14-11-25 16:00:00,PMCS_SPIL,0.00,0,0,0.00,0.00,0.00,0.00
14-11-25 16:00:00,AZPN_MXIM,0.00,0,0,0.00,0.00,0.00,0.00
14-11-25 16:00:00,IHF_USPH,0.00,0,0,4556.82,-0.08,-0.03,-0.05
14-11-25 15:59:55,SSL_APD,0.00,0,0,5084.04,-0.84,-0.36,-0.57
14-11-25 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-11-25 15:59:55,CEB_GPX,0.00,0,0,5629.50,-0.40,-0.46,-0.43
14-11-25 15:59:55,CNX_BHI,0.00,0,0,6067.86,2.24,-2.76,-0.12
14-11-25 16:00:00,EZA_EWH,0.00,0,0,4460.31,0.11,-0.32,-0.10
14-11-25 15:59:55,ACC_BIP,0.65,1,2,0.00,0.00,0.00,0.65
14-11-25 16:00:00,IILG_FLY,0.00,0,0,0.00,0.00,0.00,0.00
14-11-26 15:59:55,CRH_MLM,0.00,0,0,0.00,0.00,0.00,0.00
14-11-26 16:00:00,PPS_TITN,0.00,0,2,5387.34,-0.17,-2.58,-1.33
14-11-26 16:00:00,MSCC_PRGS,0.00,0,0,0.00,0.00,0.00,0.00
14-11-26 16:00:00,PMCS_SPIL,0.00,0,0,0.00,0.00,0.00,0.00
14-11-26 16:00:00,AZPN_MXIM,0.00,0,0,0.00,0.00,0.00,0.00
14-11-26 15:59:55,IHF_USPH,0.00,0,0,4563.80,-0.05,-0.46,-0.26
14-11-26 15:59:55,SSL_APD,0.00,0,0,5045.34,0.13,-0.24,-0.08
14-11-26 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-11-26 15:59:55,CEB_GPX,0.00,0,0,5604.00,-0.13,2.58,1.21
14-11-26 15:59:55,CNX_BHI,0.00,0,0,5893.04,0.22,-0.24,0.01
14-11-26 16:00:00,EZA_EWH,0.00,0,0,4465.91,-0.41,0.32,-0.05
14-11-26 15:59:55,ACC_BIP,0.00,0,2,5683.43,0.34,0.81,0.58
14-11-26 16:00:00,IILG_FLY,0.00,0,0,0.00,0.00,0.00,0.00
14-11-28 13:02:05,CRH_MLM,0.00,0,2,5507.80,0.81,-2.17,-0.65
14-11-28 13:02:40,PPS_TITN,0.00,0,0,5319.78,-0.21,-3.53,-1.78
14-11-28 14:12:10,MSCC_PRGS,0.00,0,0,0.00,0.00,0.00,0.00
14-11-28 13:38:15,PMCS_SPIL,0.00,0,0,0.00,0.00,0.00,0.00
14-11-28 14:12:10,AZPN_MXIM,0.00,0,0,0.00,0.00,0.00,0.00
14-11-28 13:04:10,IHF_USPH,0.00,0,0,4550.18,-0.30,0.41,0.05
14-11-28 14:17:35,SSL_APD,0.00,0,0,4853.44,-0.09,0.69,0.37
14-11-28 13:05:15,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-11-28 13:02:55,CEB_GPX,0.00,0,0,5675.64,1.73,-1.94,-0.11
14-11-28 15:46:55,CNX_BHI,0.00,0,0,5620.92,-1.27,-3.88,-2.48
14-11-28 13:22:00,EZA_EWH,0.90,1,2,0.00,0.00,0.00,0.90
14-11-28 15:10:10,ACC_BIP,1.22,1,2,0.00,0.00,0.00,1.22
14-11-28 14:12:10,IILG_FLY,0.00,0,0,0.00,0.00,0.00,0.00
14-12-01 15:59:55,CRH_MLM,0.00,0,0,5453.97,0.08,-3.27,-1.53
14-12-01 16:00:00,PPS_TITN,0.00,0,0,5236.20,1.76,-4.44,-1.11
14-12-01 16:00:00,MSCC_PRGS,0.00,0,0,0.00,0.00,0.00,0.00
14-12-01 16:00:00,PMCS_SPIL,0.00,0,0,0.00,0.00,0.00,0.00
14-12-01 16:00:00,AZPN_MXIM,0.00,0,2,5682.27,-6.14,0.95,-2.51
14-12-01 16:00:00,IHF_USPH,0.00,0,0,4568.94,0.23,0.41,0.32
14-12-01 16:00:00,SSL_APD,0.00,0,0,4679.94,1.22,-0.29,0.29
14-12-01 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-01 15:59:55,CEB_GPX,0.00,0,0,5573.36,1.11,-0.95,0.07
14-12-01 16:00:00,CNX_BHI,0.00,0,0,5504.60,3.20,0.04,1.77
14-12-01 16:00:00,EZA_EWH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-01 16:00:00,ACC_BIP,0.00,0,0,0.00,0.00,0.00,0.00
14-12-01 16:00:00,IILG_FLY,0.00,0,2,6066.61,-3.84,3.01,-0.42
14-12-02 16:00:00,CRH_MLM,0.00,0,0,5373.58,0.38,3.36,1.78
14-12-02 16:00:00,PPS_TITN,0.00,0,0,5071.86,-0.71,0.33,-0.24
14-12-02 16:00:00,MSCC_PRGS,0.00,0,0,0.00,0.00,0.00,0.00
14-12-02 16:00:00,PMCS_SPIL,0.00,0,0,0.00,0.00,0.00,0.00
14-12-02 16:00:00,AZPN_MXIM,0.00,0,0,5495.60,6.72,-1.85,2.21
14-12-02 16:00:00,IHF_USPH,0.00,0,0,4529.24,-0.39,3.34,1.44
14-12-02 16:00:00,SSL_APD,0.00,0,0,4717.66,0.97,0.06,0.41
14-12-02 16:00:00,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-02 15:59:55,CEB_GPX,1.33,1,2,0.00,0.00,0.00,1.33
14-12-02 16:00:00,CNX_BHI,0.00,0,0,5402.40,0.11,-0.02,0.05
14-12-02 16:00:00,EZA_EWH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-02 15:59:55,ACC_BIP,0.00,0,2,5563.39,0.39,-1.41,-0.51
14-12-02 16:00:00,IILG_FLY,0.00,0,0,5873.52,-0.28,0.38,0.05
14-12-03 15:59:55,CRH_MLM,0.00,0,0,5462.57,-0.25,1.46,0.57
14-12-03 16:00:00,PPS_TITN,0.00,0,0,5106.72,0.76,0.32,0.56
14-12-03 16:00:00,MSCC_PRGS,0.00,0,0,0.00,0.00,0.00,0.00
14-12-03 16:00:00,PMCS_SPIL,0.00,0,0,0.00,0.00,0.00,0.00
14-12-03 16:00:00,AZPN_MXIM,0.00,0,0,5679.63,1.41,-3.48,-1.13
14-12-03 15:59:55,IHF_USPH,0.00,0,0,4624.70,-0.87,-0.20,-0.54
14-12-03 15:59:55,SSL_APD,0.00,0,0,4676.20,0.87,-1.15,-0.37
14-12-03 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-03 15:59:55,CEB_GPX,0.00,0,0,0.00,0.00,0.00,0.00
14-12-03 16:00:00,CNX_BHI,0.00,0,0,5449.92,-1.07,-0.48,-0.80
14-12-03 16:00:00,EZA_EWH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-03 16:00:00,ACC_BIP,0.00,0,0,5623.88,0.28,0.26,0.27
14-12-03 16:00:00,IILG_FLY,0.00,0,0,5856.03,2.34,-0.38,0.98
14-12-04 15:59:55,CRH_MLM,0.00,0,0,5549.38,-0.00,-0.17,-0.08
14-12-04 16:00:00,PPS_TITN,0.00,0,0,5101.71,-0.14,-3.79,-1.82
14-12-04 16:00:00,MSCC_PRGS,0.00,0,2,5437.42,0.65,0.49,0.57
14-12-04 16:00:00,PMCS_SPIL,0.00,0,0,0.00,0.00,0.00,0.00
14-12-04 16:00:00,AZPN_MXIM,0.00,0,0,5838.36,-1.23,0.19,-0.48
14-12-04 16:00:00,IHF_USPH,0.00,0,0,4653.06,0.16,-0.18,-0.01
14-12-04 15:59:55,SSL_APD,0.00,0,0,4683.22,1.26,-0.56,0.14
14-12-04 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-04 15:59:55,CEB_GPX,0.00,0,2,5515.92,-0.59,-0.16,-0.38
14-12-04 15:59:55,CNX_BHI,0.00,0,0,5421.54,1.20,1.18,1.19
14-12-04 16:00:00,EZA_EWH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-04 15:59:55,ACC_BIP,0.00,0,0,5620.86,0.38,-1.66,-0.65
14-12-04 16:00:00,IILG_FLY,0.00,0,0,5926.09,2.02,-2.12,-0.04
14-12-05 15:59:55,CRH_MLM,0.00,0,0,5549.71,0.33,-1.08,-0.34
14-12-05 16:00:00,PPS_TITN,0.00,0,0,5012.37,-0.49,1.17,0.26
14-12-05 16:00:00,MSCC_PRGS,0.00,0,0,5429.80,-1.40,0.34,-0.53
14-12-05 16:00:00,PMCS_SPIL,0.00,0,2,5457.33,0.47,0.14,0.30
14-12-05 16:00:00,AZPN_MXIM,0.00,0,0,5791.83,1.76,-1.03,0.28
14-12-05 16:00:00,IHF_USPH,0.00,0,0,4639.32,-0.61,0.56,-0.03
14-12-05 15:59:55,SSL_APD,0.00,0,0,4668.90,-0.37,-0.54,-0.48
14-12-05 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-05 15:59:55,CEB_GPX,0.00,0,0,5500.20,0.85,-2.29,-0.73
14-12-05 15:59:55,CNX_BHI,0.00,0,0,5410.72,-0.08,-1.25,-0.63
14-12-05 16:00:00,EZA_EWH,0.00,0,2,5463.80,-0.47,-0.37,-0.42
14-12-05 15:59:55,ACC_BIP,0.00,0,0,5663.01,0.43,0.77,0.60
14-12-05 16:00:00,IILG_FLY,0.00,0,0,6050.53,0.00,-1.48,-0.74
14-12-08 15:59:55,CRH_MLM,0.00,0,0,5466.92,0.58,-3.08,-1.15
14-12-08 16:00:00,PPS_TITN,0.00,0,0,5041.89,-0.73,-0.25,-0.51
14-12-08 16:00:00,MSCC_PRGS,0.00,0,0,5461.15,1.42,0.30,0.86
14-12-08 16:00:00,PMCS_SPIL,0.00,0,0,5459.18,0.12,-0.53,-0.21
14-12-08 16:00:00,AZPN_MXIM,0.00,0,0,5854.75,-3.49,0.64,-1.31
14-12-08 15:59:55,IHF_USPH,0.00,0,0,4652.56,0.43,-1.57,-0.55
14-12-08 15:59:55,SSL_APD,0.00,0,0,4614.22,-2.41,0.68,-0.44
14-12-08 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-08 15:59:55,CEB_GPX,0.00,0,0,5569.92,-0.53,1.87,0.69
14-12-08 15:59:55,CNX_BHI,0.00,0,0,5303.52,2.95,-1.74,0.76
14-12-08 16:00:00,EZA_EWH,0.00,0,0,5364.87,-0.63,0.47,-0.07
14-12-08 15:59:55,ACC_BIP,0.43,1,2,0.00,0.00,0.00,0.43
14-12-08 16:00:00,IILG_FLY,0.00,0,0,6077.13,-1.26,-0.66,-0.96
14-12-09 15:59:55,CRH_MLM,0.00,0,0,5368.68,1.04,0.83,0.94
14-12-09 16:00:00,PPS_TITN,0.00,0,0,5056.38,-0.95,0.83,-0.15
