DateTime,Pair,EntryPrice0,ExitPrice0,Qty0,EntryPrice1,ExitPrice1,Qty1,SumProfit,ROI
13-04-23 09:45:05,DHR_WAT,58.70,59.10,-31,88.23,95.12,20,125.33,3.50
13-04-23 15:16:00,AVB_BRE,132.19,131.98,-14,50.48,50.67,36,9.84,0.27
13-04-25 10:45:15,DHR_WAT,58.97,60.87,31,93.05,92.90,-20,61.83,1.68
13-04-25 15:09:55,FOF_HYV,13.38,13.48,-138,13.16,13.30,139,5.43,0.15
13-04-26 10:00:05,SWX_WR,49.50,50.14,-37,33.77,34.56,53,18.36,0.51
13-04-29 13:55:10,FOF_HYV,13.43,13.53,138,13.28,13.36,-139,2.93,0.08
13-04-30 14:47:30,FOF_HYV,13.53,13.44,-121,13.34,13.31,122,7.66,0.23
13-05-01 11:15:20,MTW_TEX,18.66,16.63,-192,28.92,27.50,113,229.30,3.35
13-05-01 12:15:45,DHR_WAT,61.08,60.57,-26,92.13,92.95,16,26.38,0.86
13-05-01 12:23:45,FOF_HYV,13.56,13.52,-121,13.37,13.35,122,2.62,0.08
13-05-02 11:03:45,FOF_HYV,13.53,13.54,123,13.36,13.38,-124,-0.78,-0.02
13-05-07 11:08:50,FOF_HYV,13.67,13.63,-121,13.42,13.48,122,12.59,0.38
13-05-15 11:47:55,BHI_CNX,47.06,45.86,-31,33.84,33.92,41,37.63,1.32
13-05-20 14:55:50,DHR_WAT,61.51,63.89,24,95.66,97.70,-15,23.93,0.82
13-05-21 09:50:05,BHI_CNX,46.95,47.83,-31,33.78,35.33,41,33.42,1.18
13-05-22 12:10:45,DHR_WAT,63.80,63.64,23,98.47,97.53,-14,6.78,0.24
13-06-03 13:20:05,DHR_WAT,62.39,61.98,23,96.15,95.98,-15,-9.51,-0.33
13-06-03 13:20:05,MSCC_PRGS,21.39,22.03,69,23.28,23.37,-66,35.63,1.18
13-06-03 13:20:05,BHK_MVF,14.71,13.66,101,10.92,10.06,-137,9.06,0.30
13-06-04 09:40:05,PMCS_SPIL,5.83,6.06,255,5.89,5.75,-288,94.63,2.97
