DateTime,Pair,EntryPrice0,ExitPrice0,Qty0,EntryPrice1,ExitPrice1,Qty1,SumProfit,ROI
13-10-02 09:30:00,PMCS_SPIL,6.75,6.69,-230,5.82,5.85,261,18.96,0.62
13-10-08 10:20:25,DHR_WAT,69.48,68.44,22,105.99,104.18,-14,1.21,0.04
13-10-08 11:51:10,NX_IR,18.22,18.21,85,65.30,63.18,-24,48.73,1.56
13-10-14 11:20:55,PMCS_SPIL,6.66,6.63,234,6.00,5.94,-265,6.47,0.21
13-10-18 12:41:35,PPS_TITN,44.67,46.14,-34,16.09,17.03,89,32.49,1.10
13-10-22 10:40:35,PMCS_SPIL,6.79,6.93,-228,5.99,6.20,254,18.70,0.61
13-10-28 11:10:50,PMCS_SPIL,6.57,6.70,236,6.02,6.00,-264,31.03,0.99
13-10-29 09:30:00,PMCS_SPIL,6.87,5.78,-226,6.00,6.00,252,241.69,7.89
13-11-04 11:41:05,PPS_TITN,45.81,45.72,34,17.32,16.93,-92,31.43,1.00
13-11-14 09:30:00,IILG_FLY,24.71,24.97,-41,14.46,14.62,69,-1.43,-0.01
13-11-20 14:12:20,PPS_TITN,45.30,43.89,34,17.38,16.85,-90,-1.64,-0.01
13-11-21 10:30:30,IILG_FLY,24.62,25.40,42,14.73,14.95,-72,15.16,0.79
13-11-25 11:41:05,IILG_FLY,25.50,25.68,-40,14.75,15.09,68,14.48,0.78
13-11-25 11:51:10,PMCS_SPIL,5.93,5.94,263,6.05,5.68,-293,108.14,3.35
13-11-26 11:31:00,IILG_FLY,25.59,25.93,40,15.21,15.21,-68,11.76,0.63
13-12-03 10:40:35,PNR_DOX,70.97,69.89,-29,40.25,40.35,50,35.15,0.90
13-12-03 12:01:15,PPS_TITN,43.79,43.02,23,17.69,16.89,-58,27.46,1.41
13-12-06 13:01:45,ALKS_MNTA,38.79,39.15,-26,17.22,17.82,56,23.08,1.24
13-12-11 10:00:15,PMCS_SPIL,6.03,6.04,-343,5.78,5.95,362,53.60,1.39
13-12-12 10:20:25,PNR_DOX,70.92,69.54,-29,40.46,40.22,50,26.84,0.69
13-12-13 12:11:20,PMCS_SPIL,5.93,5.94,351,5.95,5.84,-367,42.58,1.11
13-12-16 10:20:25,PMCS_SPIL,6.12,6.25,341,6.08,6.06,-353,46.84,1.21
13-12-16 11:41:05,ALKS_MNTA,39.80,38.38,-52,17.55,17.47,118,63.29,1.56
13-12-24 11:10:50,PPS_TITN,44.62,45.41,-46,14.35,17.09,123,299.04,7.87
13-12-26 10:00:20,CXO_TCP,104.21,105.84,-19,44.51,47.26,43,85.96,2.24
13-12-30 10:35:30,CRH_MLM,24.77,25.39,-84,96.28,100.63,21,38.24,0.96
13-12-30 14:02:15,DHR_WAT,68.42,76.79,-22,103.54,100.76,14,-224.31,-7.55
14-01-03 09:30:05,PMCS_SPIL,6.27,6.28,-331,6.07,6.03,343,-21.18,-0.41
14-01-03 10:00:15,ALKS_MNTA,39.87,40.16,-52,17.46,18.48,116,102.72,2.54
14-01-06 10:30:30,ALKS_MNTA,40.07,40.67,52,18.76,18.55,-118,54.62,1.30
14-01-06 15:02:45,NX_IR,20.29,19.62,-103,61.54,61.34,33,60.89,1.51
14-01-07 10:11:00,DHR_WAT,76.43,76.34,-27,98.30,99.48,20,24.79,0.65
14-01-09 09:50:10,ALKS_MNTA,42.66,43.16,-49,18.81,19.68,106,66.28,1.65
14-01-09 11:41:05,PMCS_SPIL,6.31,6.27,-331,5.90,5.98,357,34.45,0.92
14-01-09 14:52:40,DHR_WAT,76.53,77.42,27,100.84,100.70,-20,25.71,0.66
14-01-10 09:33:55,CRH_MLM,25.91,26.76,-81,100.15,105.04,20,27.65,0.71
14-01-13 10:20:25,IILG_FLY,26.45,29.80,-78,15.35,16.37,132,-127.72,-3.09
14-01-13 10:50:40,NX_IR,20.28,20.04,-103,62.17,63.37,33,63.12,1.56
14-01-14 09:30:25,DHR_WAT,77.26,77.98,27,100.92,100.81,-20,20.49,0.53
14-01-14 09:50:10,PMCS_SPIL,6.28,6.44,338,6.10,6.13,-366,38.87,0.99
14-01-22 11:20:55,NX_IR,19.74,19.68,107,63.26,61.97,-34,36.20,0.88
14-01-22 12:01:15,PNR_DOX,71.30,77.08,-29,40.62,42.50,50,-74.59,-1.79
14-01-24 09:30:25,PMCS_SPIL,6.69,6.57,-316,6.19,6.11,343,6.19,0.24
14-01-24 15:22:55,MSCC_PRGS,23.72,23.07,-87,24.32,24.06,83,33.87,0.86
14-01-27 09:34:10,CRH_MLM,27.03,26.43,78,108.58,104.73,-19,25.00,0.63
14-01-28 09:40:05,PMCS_SPIL,6.45,6.28,-327,5.97,5.94,363,41.13,1.06
14-01-28 12:01:15,CRH_MLM,26.73,27.13,79,107.98,106.84,-20,53.13,1.27
14-01-31 09:50:15,NX_IR,19.31,18.56,-107,60.02,58.35,34,22.01,0.57
14-02-03 13:21:55,NX_IR,18.95,18.20,-110,58.48,57.34,35,41.81,1.05
14-02-04 10:01:05,CXO_TCP,103.58,98.54,20,47.56,45.63,-43,-19.09,-0.43
14-02-05 10:10:20,NX_IR,18.27,18.57,116,57.81,57.80,-37,33.24,0.82
14-02-06 11:10:50,NX_IR,18.01,18.61,117,57.84,58.25,-37,54.08,1.31
14-02-10 09:40:05,NX_IR,18.43,20.01,114,59.19,59.74,-36,159.68,3.81
14-02-20 11:10:50,PNR_DOX,75.76,79.20,27,42.79,43.82,-49,41.34,1.03
14-02-20 12:11:20,NX_IR,20.09,19.21,-104,59.80,59.50,32,80.93,2.06
14-02-24 12:01:15,NX_IR,18.87,19.75,110,59.59,60.64,-36,57.86,1.40
14-02-25 09:34:30,CRH_MLM,26.26,29.98,80,106.19,117.34,-20,73.55,1.77
14-02-26 09:37:45,CRH_MLM,29.85,29.28,-70,116.55,119.24,16,81.43,2.09
14-02-27 10:40:35,IILG_FLY,27.46,27.78,77,15.31,15.17,-140,43.36,1.05
14-02-27 11:31:00,DHR_WAT,77.43,77.09,27,101.48,112.04,-20,-221.54,-5.35
14-02-28 13:11:50,IILG_FLY,30.24,27.77,-68,15.10,15.13,125,170.09,4.35
14-03-03 15:14:45,NX_IR,19.45,19.47,108,61.36,60.11,-35,44.71,1.09
14-03-04 10:20:25,IILG_FLY,26.50,27.79,79,15.00,15.19,-151,71.14,1.66
14-03-04 12:12:35,CRH_MLM,29.19,29.52,71,122.51,121.17,-18,46.13,1.11
14-03-05 09:50:10,NX_IR,20.19,19.81,-103,60.98,61.43,33,52.92,1.33
14-03-06 09:34:45,CRH_MLM,28.87,29.07,73,121.43,121.62,-17,10.12,0.27
14-03-07 09:30:05,MSCC_PRGS,22.92,23.97,92,24.27,22.48,-87,251.07,5.98
14-03-07 09:50:45,NX_IR,20.09,20.06,-104,61.14,62.30,33,40.13,1.01
14-03-07 09:52:40,DHR_WAT,76.66,76.99,27,113.33,112.24,-18,27.24,0.69
14-03-10 14:32:30,DHR_WAT,77.20,76.86,-27,112.03,112.66,18,19.32,0.50
14-03-12 09:30:05,PMCS_SPIL,6.37,7.75,-331,5.89,6.58,362,-211.88,-4.89
14-03-12 09:51:30,SSL_APD,53.78,52.47,-39,120.22,119.51,17,37.67,0.94
14-03-12 10:22:20,PNR_DOX,81.80,80.00,-25,44.63,44.78,45,50.44,1.28
14-03-18 12:21:25,PMCS_SPIL,7.72,7.77,276,6.94,6.70,-325,88.53,2.10
14-03-19 11:31:00,CXO_TCP,102.31,117.42,-20,45.50,47.37,44,-221.10,-5.43
14-03-19 14:52:40,SSL_APD,54.27,53.26,-39,120.98,121.50,17,46.81,1.15
14-03-20 10:00:20,PPS_TITN,46.06,48.01,-45,16.30,16.03,124,-121.96,-2.95
14-03-21 09:30:05,PMCS_SPIL,7.71,7.70,-276,6.46,6.71,328,84.72,2.08
14-03-21 14:22:25,DHR_WAT,76.95,75.19,27,113.78,111.29,-18,-4.00,-0.07
14-03-24 12:21:25,SSL_APD,52.36,52.93,40,121.78,121.03,-17,34.38,0.86
14-03-24 15:43:05,IILG_FLY,27.86,26.54,78,15.31,14.96,-139,-54.99,-1.25
14-04-01 09:50:10,IILG_FLY,25.83,26.51,135,14.95,14.99,-236,80.40,1.17
14-04-04 09:37:10,CRH_MLM,28.62,28.70,74,123.21,125.29,-17,-30.84,-0.70
14-04-08 11:00:45,CNX_BHI,40.64,41.31,85,64.51,64.11,-54,77.62,1.14
14-04-09 12:11:25,IILG_FLY,26.60,26.21,-129,14.75,14.80,229,59.43,0.90
14-04-10 09:30:10,PPS_TITN,49.26,50.07,-71,15.70,16.30,217,72.77,1.07
14-04-14 09:53:00,CRH_MLM,29.10,28.67,-119,122.91,126.06,27,135.01,2.01
14-04-15 09:50:20,CXO_TCP,125.51,129.04,27,50.55,50.95,-68,66.67,1.00
