BTDate,Pairs,StartDate,EndDate,BarFreq,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,lookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-11-16 09:04,NYF_ECH,2009-01-01,2013-12-31,1M,1254,-0.15,2.21,11.48,46.38,823,20,1.00,0.00,600
2014-11-16 09:04,NYF_ECH,2009-01-01,2013-12-31,1M,1254,-0.28,0.70,3.53,47.12,823,20,1.50,0.00,600
2014-11-16 09:05,NYF_ECH,2009-01-01,2013-12-31,1M,1254,-0.16,2.23,11.63,46.52,975,60,1.00,0.00,600
2014-11-16 09:06,NYF_ECH,2009-01-01,2013-12-31,1M,1254,-0.30,1.06,5.41,46.96,809,60,1.50,0.00,600
2014-11-16 09:06,NYF_ECH,2009-01-01,2013-12-31,1M,1254,-0.37,-0.90,-4.39,47.19,975,120,1.00,0.00,600
2014-11-16 09:07,NYF_ECH,2009-01-01,2013-12-31,1M,1254,-0.35,0.23,1.13,46.51,949,120,1.50,0.00,600
2014-11-16 09:08,NYF_TFI,2009-01-01,2013-12-31,1M,1254,-0.31,3.23,17.16,6.82,644,20,1.00,0.00,600
2014-11-16 09:09,NYF_TFI,2009-01-01,2013-12-31,1M,1254,-0.31,3.40,18.08,6.80,651,20,1.50,0.00,600
2014-11-16 09:09,NYF_TFI,2009-01-01,2013-12-31,1M,1254,-0.19,3.96,21.34,6.82,260,60,1.00,0.00,600
2014-11-16 09:10,NYF_TFI,2009-01-01,2013-12-31,1M,1254,-0.12,4.40,23.87,6.83,153,60,1.50,0.00,600
2014-11-16 09:11,NYF_TFI,2009-01-01,2013-12-31,1M,1254,-0.09,4.53,24.66,6.79,149,120,1.00,0.00,600
2014-11-16 09:11,NYF_TFI,2009-01-01,2013-12-31,1M,1254,-0.13,4.35,23.63,6.41,134,120,1.50,0.00,600
2014-11-16 09:12,NYF_IYW,2009-01-01,2013-12-31,1M,1254,0.21,6.94,39.62,21.44,295,20,1.00,0.00,600
2014-11-16 09:13,NYF_IYW,2009-01-01,2013-12-31,1M,1254,0.22,6.96,39.77,21.51,565,20,1.50,0.00,600
2014-11-16 09:14,NYF_IYW,2009-01-01,2013-12-31,1M,1254,-0.22,2.39,12.46,19.29,434,60,1.00,0.00,600
2014-11-16 09:14,NYF_IYW,2009-01-01,2013-12-31,1M,1254,-0.24,2.32,12.07,19.00,429,60,1.50,0.00,600
2014-11-16 09:15,NYF_IYW,2009-01-01,2013-12-31,1M,1254,-0.27,1.97,10.18,18.62,566,120,1.00,0.00,600
2014-11-16 09:16,NYF_IYW,2009-01-01,2013-12-31,1M,1254,-0.26,2.31,12.04,19.08,267,120,1.50,0.00,600
2014-11-16 09:17,NYF_EWL,2009-01-01,2013-12-31,1M,1254,0.18,6.52,36.96,22.06,321,20,1.00,0.00,600
2014-11-16 09:17,NYF_EWL,2009-01-01,2013-12-31,1M,1254,-0.04,4.21,22.76,22.06,228,20,1.50,0.00,600
2014-11-16 09:18,NYF_EWL,2009-01-01,2013-12-31,1M,1254,-0.72,-3.28,-15.27,21.31,1051,60,1.00,0.00,600
2014-11-16 09:19,NYF_EWL,2009-01-01,2013-12-31,1M,1254,-0.66,-2.09,-10.00,19.62,1051,60,1.50,0.00,600
2014-11-16 09:19,NYF_EWL,2009-01-01,2013-12-31,1M,1254,-0.85,-5.23,-23.45,26.03,1054,120,1.00,0.00,600
2014-11-16 09:20,NYF_EWL,2009-01-01,2013-12-31,1M,1254,-0.79,-3.71,-17.17,20.75,1051,120,1.50,0.00,600
2014-11-16 09:21,NYF_VB,2009-01-01,2013-12-31,1M,1254,0.50,10.58,64.97,45.35,192,20,1.00,0.00,600
2014-11-16 09:22,NYF_VB,2009-01-01,2013-12-31,1M,1254,0.17,6.46,36.53,45.35,196,20,1.50,0.00,600
2014-11-16 09:23,NYF_VB,2009-01-01,2013-12-31,1M,1254,-0.16,2.69,14.15,38.72,777,60,1.00,0.00,600
2014-11-16 09:23,NYF_VB,2009-01-01,2013-12-31,1M,1254,-0.24,2.13,11.07,37.50,665,60,1.50,0.00,600
2014-11-16 09:24,NYF_VB,2009-01-01,2013-12-31,1M,1254,-0.61,-2.44,-11.56,25.76,791,120,1.00,0.00,600
2014-11-16 09:25,NYF_VB,2009-01-01,2013-12-31,1M,1254,-0.67,-2.53,-11.97,22.31,505,120,1.50,0.00,600
2014-11-16 09:26,NYF_SHV,2009-01-01,2013-12-31,1M,1254,-0.98,-0.65,-3.20,9.98,1305,20,1.00,0.00,600
2014-11-16 09:26,NYF_SHV,2009-01-01,2013-12-31,1M,1254,-1.00,-0.76,-3.71,9.98,1305,20,1.50,0.00,600
2014-11-16 09:27,NYF_SHV,2009-01-01,2013-12-31,1M,1254,-1.06,-1.08,-5.27,9.98,1305,60,1.00,0.00,600
2014-11-16 09:28,NYF_SHV,2009-01-01,2013-12-31,1M,1254,-1.06,-1.07,-5.19,9.98,1305,60,1.50,0.00,600
2014-11-16 09:29,NYF_SHV,2009-01-01,2013-12-31,1M,1254,-1.04,-1.02,-4.98,9.98,1305,120,1.00,0.00,600
2014-11-16 09:29,NYF_SHV,2009-01-01,2013-12-31,1M,1254,-1.02,-0.83,-4.05,9.98,1305,120,1.50,0.00,600
2014-11-16 09:30,NYF_IEV,2009-01-01,2013-12-31,1M,1254,-0.40,-0.70,-3.41,25.18,1274,20,1.00,0.00,600
2014-11-16 09:31,NYF_IEV,2009-01-01,2013-12-31,1M,1254,-0.23,1.67,8.57,19.04,794,20,1.50,0.00,600
2014-11-16 09:31,NYF_IEV,2009-01-01,2013-12-31,1M,1254,-0.35,-0.40,-1.99,22.06,779,60,1.00,0.00,600
2014-11-16 09:32,NYF_IEV,2009-01-01,2013-12-31,1M,1254,-0.62,-3.04,-14.24,20.03,1259,60,1.50,0.00,600
2014-11-16 09:33,NYF_IEV,2009-01-01,2013-12-31,1M,1254,-0.71,-5.38,-24.05,24.09,1273,120,1.00,0.00,600
2014-11-16 09:34,NYF_IEV,2009-01-01,2013-12-31,1M,1254,-0.55,-2.41,-11.42,19.06,1121,120,1.50,0.00,600
2014-11-16 09:35,NYF_DVY,2009-01-01,2013-12-31,1M,1254,-1.23,-6.45,-28.24,46.56,1251,20,1.00,0.00,600
2014-11-16 09:36,NYF_DVY,2009-01-01,2013-12-31,1M,1254,-1.13,-5.36,-23.98,45.39,1250,20,1.50,0.00,600
2014-11-16 09:36,NYF_DVY,2009-01-01,2013-12-31,1M,1254,-1.05,-5.42,-24.20,25.54,1251,60,1.00,0.00,600
2014-11-16 09:37,NYF_DVY,2009-01-01,2013-12-31,1M,1254,-1.02,-4.70,-21.29,22.96,1249,60,1.50,0.00,600
2014-11-16 09:38,NYF_DVY,2009-01-01,2013-12-31,1M,1254,-0.93,-4.75,-21.49,32.13,938,120,1.00,0.00,600
2014-11-16 09:39,NYF_DVY,2009-01-01,2013-12-31,1M,1254,-1.10,-5.46,-24.38,36.46,938,120,1.50,0.00,600
2014-11-16 09:40,NYF_EPP,2009-01-01,2013-12-31,1M,1254,-0.59,-4.49,-20.44,41.29,1217,20,1.00,0.00,600
2014-11-16 09:41,NYF_EPP,2009-01-01,2013-12-31,1M,1254,-0.46,-2.41,-11.44,40.47,1205,20,1.50,0.00,600
2014-11-16 09:42,NYF_EPP,2009-01-01,2013-12-31,1M,1254,-0.45,-2.41,-11.43,28.70,1191,60,1.00,0.00,600
2014-11-16 09:42,NYF_EPP,2009-01-01,2013-12-31,1M,1254,-0.34,-0.49,-2.44,25.89,1193,60,1.50,0.00,600
2014-11-16 09:43,NYF_EPP,2009-01-01,2013-12-31,1M,1254,-0.38,-2.15,-10.24,37.23,1239,120,1.00,0.00,600
2014-11-16 09:44,NYF_EPP,2009-01-01,2013-12-31,1M,1254,-0.20,1.03,5.24,34.94,1177,120,1.50,0.00,600
2014-11-16 09:45,NYF_VIG,2009-01-01,2013-12-31,1M,1254,0.16,6.17,34.70,21.68,183,20,1.00,0.00,600
2014-11-16 09:46,NYF_VIG,2009-01-01,2013-12-31,1M,1254,-0.15,3.53,18.87,21.68,177,20,1.50,0.00,600
2014-11-16 09:47,NYF_VIG,2009-01-01,2013-12-31,1M,1254,-0.53,-0.07,-0.36,19.35,996,60,1.00,0.00,600
2014-11-16 09:47,NYF_VIG,2009-01-01,2013-12-31,1M,1254,-0.66,-0.86,-4.21,19.42,993,60,1.50,0.00,600
2014-11-16 09:48,NYF_VIG,2009-01-01,2013-12-31,1M,1254,-0.86,-3.15,-14.74,21.68,677,120,1.00,0.00,600
2014-11-16 09:49,NYF_VIG,2009-01-01,2013-12-31,1M,1254,-0.86,-2.67,-12.60,19.11,677,120,1.50,0.00,600
2014-11-16 09:50,NYF_EWG,2009-01-01,2013-12-31,1M,1254,-0.33,-0.27,-1.34,23.79,1025,20,1.00,0.00,600
2014-11-16 09:51,NYF_EWG,2009-01-01,2013-12-31,1M,1254,-0.32,0.21,1.04,20.57,604,20,1.50,0.00,600
2014-11-16 09:52,NYF_EWG,2009-01-01,2013-12-31,1M,1254,-0.20,1.55,7.97,20.59,491,60,1.00,0.00,600
2014-11-16 09:52,NYF_EWG,2009-01-01,2013-12-31,1M,1254,-0.34,0.32,1.62,19.28,633,60,1.50,0.00,600
2014-11-16 09:53,NYF_EWG,2009-01-01,2013-12-31,1M,1254,-0.62,-4.29,-19.59,23.03,966,120,1.00,0.00,600
2014-11-16 09:54,NYF_EWG,2009-01-01,2013-12-31,1M,1254,-0.41,-1.06,-5.15,19.23,844,120,1.50,0.00,600
2014-11-16 09:55,NYF_MDY,2009-01-01,2013-12-31,1M,1254,0.39,9.08,54.09,21.59,189,20,1.00,0.00,600
2014-11-16 09:56,NYF_MDY,2009-01-01,2013-12-31,1M,1254,0.46,9.91,60.00,21.59,167,20,1.50,0.00,600
2014-11-16 09:57,NYF_MDY,2009-01-01,2013-12-31,1M,1254,-0.05,4.03,21.75,21.06,659,60,1.00,0.00,600
2014-11-16 09:58,NYF_MDY,2009-01-01,2013-12-31,1M,1254,-0.15,3.12,16.54,19.25,279,60,1.50,0.00,600
2014-11-16 09:59,NYF_MDY,2009-01-01,2013-12-31,1M,1254,-0.78,-3.64,-16.85,24.65,779,120,1.00,0.00,600
2014-11-16 10:00,NYF_MDY,2009-01-01,2013-12-31,1M,1254,-0.67,-1.96,-9.39,18.42,516,120,1.50,0.00,600
2014-11-16 10:01,NYF_KRE,2009-01-01,2013-12-31,1M,1254,-0.42,-1.59,-7.65,32.28,913,20,1.00,0.00,600
2014-11-16 10:01,NYF_KRE,2009-01-01,2013-12-31,1M,1254,-0.48,-2.01,-9.63,32.28,913,20,1.50,0.00,600
2014-11-16 10:02,NYF_KRE,2009-01-01,2013-12-31,1M,1254,-0.58,-3.94,-18.13,32.28,900,60,1.00,0.00,600
2014-11-16 10:03,NYF_KRE,2009-01-01,2013-12-31,1M,1254,-0.61,-3.59,-16.61,30.50,899,60,1.50,0.00,600
2014-11-16 10:04,NYF_KRE,2009-01-01,2013-12-31,1M,1254,-0.76,-6.98,-30.22,32.28,1255,120,1.00,0.00,600
2014-11-16 10:05,NYF_KRE,2009-01-01,2013-12-31,1M,1254,-0.67,-5.34,-23.89,30.50,1255,120,1.50,0.00,600
