BTDate,Pairs,StartDate,EndDate,BarFreq,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,lookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-11-17 15:06,RYF_JNK,2009-01-01,2013-12-31,1M,1254,0.12,6.23,35.06,15.57,481,20,1.00,0.00,600
2014-11-17 15:08,RYF_JNK,2009-01-01,2013-12-31,1M,1254,0.10,5.93,33.20,15.57,481,20,1.50,0.00,600
2014-11-17 15:12,RYF_JNK,2009-01-01,2013-12-31,1M,1254,0.10,5.94,33.26,15.57,473,60,1.00,0.00,600
2014-11-17 15:15,RYF_JNK,2009-01-01,2013-12-31,1M,1254,0.02,4.68,25.55,15.57,550,60,1.50,0.00,600
2014-11-17 15:16,RYF_JNK,2009-01-01,2013-12-31,1M,1254,-0.06,3.62,19.33,15.57,467,120,1.00,0.00,600
2014-11-17 15:16,RYF_JNK,2009-01-01,2013-12-31,1M,1254,-0.01,4.27,23.15,15.57,469,120,1.50,0.00,600
2014-11-17 15:19,RYF_DXJ,2009-01-01,2013-12-31,1M,1254,0.05,4.86,26.66,14.22,1225,20,1.00,0.00,600
2014-11-17 15:20,RYF_DXJ,2009-01-01,2013-12-31,1M,1254,-0.02,3.69,19.79,17.73,1225,20,1.50,0.00,600
2014-11-17 15:20,RYF_DXJ,2009-01-01,2013-12-31,1M,1254,-0.26,-0.51,-2.49,22.29,1196,60,1.00,0.00,600
2014-11-17 15:20,RYF_DXJ,2009-01-01,2013-12-31,1M,1254,-0.35,-2.02,-9.65,24.94,1306,60,1.50,0.00,600
2014-11-17 15:20,RYF_DXJ,2009-01-01,2013-12-31,1M,1254,-0.30,-0.27,-1.33,24.29,1283,120,1.00,0.00,600
2014-11-17 15:20,RYF_DXJ,2009-01-01,2013-12-31,1M,1254,-0.25,0.67,3.37,18.72,1283,120,1.50,0.00,600
2014-11-17 15:21,RYF_XLB,2009-01-01,2013-12-31,1M,1254,0.11,5.67,31.58,13.30,312,20,1.00,0.00,600
2014-11-17 15:21,RYF_XLB,2009-01-01,2013-12-31,1M,1254,0.05,4.88,26.74,12.97,284,20,1.50,0.00,600
2014-11-17 15:22,RYF_XLB,2009-01-01,2013-12-31,1M,1254,-0.05,3.57,19.09,14.52,363,60,1.00,0.00,600
2014-11-17 15:22,RYF_XLB,2009-01-01,2013-12-31,1M,1254,-0.16,2.21,11.48,14.05,337,60,1.50,0.00,600
2014-11-17 15:22,RYF_XLB,2009-01-01,2013-12-31,1M,1254,-0.33,0.15,0.77,14.54,504,120,1.00,0.00,600
2014-11-17 15:23,RYF_XLB,2009-01-01,2013-12-31,1M,1254,-0.39,-0.41,-2.03,14.05,491,120,1.50,0.00,600
2014-11-17 15:26,RYF_XLY,2009-01-01,2013-12-31,1M,1254,-0.12,2.66,13.93,10.90,724,20,1.00,0.00,600
2014-11-17 15:27,RYF_XLY,2009-01-01,2013-12-31,1M,1254,-0.16,2.40,12.53,12.26,654,20,1.50,0.00,600
2014-11-17 15:27,RYF_XLY,2009-01-01,2013-12-31,1M,1254,-0.18,1.90,9.83,13.79,712,60,1.00,0.00,600
2014-11-17 15:27,RYF_XLY,2009-01-01,2013-12-31,1M,1254,-0.16,2.25,11.71,13.19,776,60,1.50,0.00,600
2014-11-17 15:27,RYF_XLY,2009-01-01,2013-12-31,1M,1254,-0.06,3.13,16.57,13.29,524,120,1.00,0.00,600
2014-11-17 15:27,RYF_XLY,2009-01-01,2013-12-31,1M,1254,0.02,4.72,25.80,11.65,381,120,1.50,0.00,600
2014-11-17 15:29,RYF_XLV,2009-01-01,2013-12-31,1M,1254,-0.42,-2.26,-10.74,23.32,1247,20,1.00,0.00,600
2014-11-17 15:30,RYF_XLV,2009-01-01,2013-12-31,1M,1254,-0.43,-1.53,-7.37,19.99,763,20,1.50,0.00,600
2014-11-17 15:30,RYF_XLV,2009-01-01,2013-12-31,1M,1254,-0.50,-3.71,-17.14,25.37,1247,60,1.00,0.00,600
2014-11-17 15:30,RYF_XLV,2009-01-01,2013-12-31,1M,1254,-0.46,-2.60,-12.30,20.30,1244,60,1.50,0.00,600
2014-11-17 15:30,RYF_XLV,2009-01-01,2013-12-31,1M,1254,-0.08,2.84,14.93,20.90,636,120,1.00,0.00,600
2014-11-17 15:30,RYF_XLV,2009-01-01,2013-12-31,1M,1254,0.06,5.13,28.26,16.93,593,120,1.50,0.00,600
2014-11-17 15:32,RYF_EWZ,2009-01-01,2013-12-31,1M,1254,-0.08,1.08,5.49,20.86,544,20,1.00,0.00,600
2014-11-17 15:32,RYF_EWZ,2009-01-01,2013-12-31,1M,1254,-0.11,0.69,3.48,23.32,542,20,1.50,0.00,600
2014-11-17 15:32,RYF_EWZ,2009-01-01,2013-12-31,1M,1254,-0.37,-3.89,-17.90,27.95,750,60,1.00,0.00,600
2014-11-17 15:34,RYF_EWZ,2009-01-01,2013-12-31,1M,1254,-0.33,-2.77,-13.04,24.23,750,60,1.50,0.00,600
2014-11-17 15:34,RYF_EWZ,2009-01-01,2013-12-31,1M,1254,-0.53,-8.00,-33.95,39.05,1244,120,1.00,0.00,600
2014-11-17 15:34,RYF_EWZ,2009-01-01,2013-12-31,1M,1254,-0.39,-4.88,-22.05,31.44,795,120,1.50,0.00,600
2014-11-17 15:35,RYF_VWO,2009-01-01,2013-12-31,1M,1254,-0.03,3.39,18.05,17.65,905,20,1.00,0.00,600
2014-11-17 15:36,RYF_VWO,2009-01-01,2013-12-31,1M,1254,-0.16,1.40,7.15,19.28,1164,20,1.50,0.00,600
2014-11-17 15:36,RYF_VWO,2009-01-01,2013-12-31,1M,1254,-0.30,-1.04,-5.09,19.61,916,60,1.00,0.00,600
2014-11-17 15:39,RYF_VWO,2009-01-01,2013-12-31,1M,1254,-0.57,-4.30,-19.64,22.55,1242,60,1.50,0.00,600
