BTDate,Pairs,StartDate,EndDate,BarFreq,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,lookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-11-15 20:39,IFGL_EZU,2009-01-01,2013-12-31,1M,1254,-0.34,0.03,0.16,18.98,1349,20,1.00,0.00,600
2014-11-15 20:40,IFGL_EZU,2009-01-01,2013-12-31,1M,1254,-0.33,0.17,0.86,18.58,1349,20,1.50,0.00,600
2014-11-15 20:40,IFGL_EZU,2009-01-01,2013-12-31,1M,1254,-0.27,0.97,4.91,17.77,1334,60,1.00,0.00,600
2014-11-15 20:41,IFGL_EZU,2009-01-01,2013-12-31,1M,1254,-0.29,0.87,4.43,15.89,1334,60,1.50,0.00,600
2014-11-15 20:41,IFGL_EZU,2009-01-01,2013-12-31,1M,1254,-0.32,0.92,4.67,20.18,1334,120,1.00,0.00,600
2014-11-15 20:42,IFGL_EZU,2009-01-01,2013-12-31,1M,1254,-0.29,1.49,7.62,19.82,1332,120,1.50,0.00,600
2014-11-15 20:43,PXF_EPP,2009-01-01,2013-12-31,1M,1254,-0.42,-2.93,-13.76,18.66,1165,20,1.00,0.00,600
2014-11-15 20:43,PXF_EPP,2009-01-01,2013-12-31,1M,1254,-0.46,-3.41,-15.84,19.92,1165,20,1.50,0.00,600
2014-11-15 20:44,PXF_EPP,2009-01-01,2013-12-31,1M,1254,-0.50,-4.85,-21.91,23.34,1263,60,1.00,0.00,600
2014-11-15 20:45,PXF_EPP,2009-01-01,2013-12-31,1M,1254,-0.49,-4.37,-19.95,23.13,1263,60,1.50,0.00,600
2014-11-15 20:46,PXF_EPP,2009-01-01,2013-12-31,1M,1254,-0.52,-7.52,-32.24,34.52,1263,120,1.00,0.00,600
2014-11-15 20:47,PXF_EPP,2009-01-01,2013-12-31,1M,1254,-0.45,-8.63,-36.19,37.54,1255,120,1.50,0.00,600
2014-11-15 20:47,IJK_EWU,2009-01-01,2013-12-31,1M,1254,0.10,5.84,32.61,19.30,258,20,1.00,0.00,600
2014-11-15 20:48,IJK_EWU,2009-01-01,2013-12-31,1M,1254,0.10,5.89,32.93,17.65,255,20,1.50,0.00,600
2014-11-15 20:50,IJK_EWU,2009-01-01,2013-12-31,1M,1254,0.23,7.42,42.76,17.40,277,60,1.00,0.00,600
2014-11-15 20:51,IJK_EWU,2009-01-01,2013-12-31,1M,1254,0.18,6.79,38.67,17.11,272,60,1.50,0.00,600
2014-11-15 20:52,IJK_EWU,2009-01-01,2013-12-31,1M,1254,0.20,6.92,39.52,15.34,241,120,1.00,0.00,600
2014-11-15 20:54,IJK_EWU,2009-01-01,2013-12-31,1M,1254,0.03,5.20,28.70,12.88,250,120,1.50,0.00,600
2014-11-15 20:56,VNQ_IVV,2009-01-01,2013-12-31,1M,1254,-0.40,-3.80,-17.53,44.87,1205,20,1.00,0.00,600
2014-11-15 20:57,VNQ_IVV,2009-01-01,2013-12-31,1M,1254,-0.53,-6.12,-26.95,44.86,1205,20,1.50,0.00,600
2014-11-15 21:00,VNQ_IVV,2009-01-01,2013-12-31,1M,1254,-0.43,-1.75,-8.42,32.51,1196,60,1.00,0.00,600
2014-11-15 21:04,VNQ_IVV,2009-01-01,2013-12-31,1M,1254,-0.52,-2.32,-11.01,30.21,1127,60,1.50,0.00,600
2014-11-15 21:10,VNQ_IVV,2009-01-01,2013-12-31,1M,1254,-0.57,-3.95,-18.19,30.06,1132,120,1.00,0.00,600
2014-11-15 23:59,JKH_DSI,2009-01-01,2013-12-31,1M,1254,-0.17,3.25,17.26,5.39,717,20,1.00,0.00,600
2014-11-15 23:59,JKH_DSI,2009-01-01,2013-12-31,1M,1254,-0.19,3.22,17.07,5.90,717,20,1.50,0.00,600
2014-11-16 00:00,JKH_DSI,2009-01-01,2013-12-31,1M,1254,-0.28,2.39,12.45,7.04,717,60,1.00,0.00,600
