BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-12-03 05:57,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,0.19,7.12,50.83,22.88,409,20,1.00,0.00,600
2014-12-03 05:59,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,0.14,5.80,40.07,24.92,585,20,1.50,0.00,600
2014-12-03 05:59,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,0.20,7.44,53.57,21.46,308,20,2.00,0.00,600
2014-12-03 06:01,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,0.12,5.41,37.04,31.70,329,60,1.00,0.00,600
2014-12-03 06:02,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,0.22,7.74,56.09,28.42,315,60,1.50,0.00,600
2014-12-03 06:03,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,-0.16,0.12,0.72,26.18,530,60,2.00,0.00,600
2014-12-03 06:03,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,-0.30,-2.89,-16.06,30.36,1352,120,1.00,0.00,600
2014-12-03 06:03,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,-0.25,-1.54,-8.85,26.32,679,120,1.50,0.00,600
2014-12-03 06:04,v1.0-236-g99aaf68,MT_APD,2008-01-01,2013-12-31,1M,582453,1506,-0.42,-3.89,-21.09,30.19,1477,120,2.00,0.00,600
2014-12-03 06:07,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,0.39,12.80,105.37,33.14,1207,20,1.00,0.00,600
2014-12-03 06:08,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,0.25,8.76,65.18,32.04,1197,20,1.50,0.00,600
2014-12-03 06:08,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,0.14,6.19,43.16,32.18,1197,20,2.00,0.00,600
2014-12-03 06:08,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,0.29,9.97,76.44,27.39,622,60,1.00,0.00,600
2014-12-03 06:09,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,0.28,9.42,71.28,24.32,737,60,1.50,0.00,600
2014-12-03 06:09,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,0.28,9.24,69.54,20.53,298,60,2.00,0.00,600
2014-12-03 06:10,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,-0.03,1.74,10.85,36.40,738,120,1.00,0.00,600
2014-12-03 06:10,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,0.01,3.18,20.57,30.91,738,120,1.50,0.00,600
2014-12-03 06:10,v1.0-236-g99aaf68,MT_BHI,2008-01-01,2013-12-31,1M,584806,1506,-0.04,2.48,15.75,23.19,1158,120,2.00,0.00,600
2014-12-03 06:12,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,-0.33,-26.61,-84.26,94.69,1196,20,1.00,0.00,600
2014-12-03 06:12,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,-0.24,-26.17,-83.69,96.09,1196,20,1.50,0.00,600
2014-12-03 06:13,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,-0.24,-26.80,-84.50,96.42,1196,20,2.00,0.00,600
2014-12-03 06:13,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,0.37,-100.00,-100.00,102.23,285,60,1.00,0.00,600
2014-12-03 06:13,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,0.03,-100.00,-100.00,100.14,246,60,1.50,0.00,600
2014-12-03 06:13,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,0.03,-100.00,-100.00,100.14,246,60,2.00,0.00,600
2014-12-03 06:13,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,0.00,-100.00,-100.00,100.10,246,120,1.00,0.00,600
2014-12-03 06:13,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,-0.50,-100.00,-100.00,104.63,254,120,1.50,0.00,600
2014-12-03 06:14,v1.0-236-g99aaf68,MT_WPZ,2008-01-01,2013-12-31,1M,582453,1506,-0.29,-100.00,-100.00,101.82,271,120,2.00,0.00,600
2014-12-03 06:14,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,-0.38,-9.61,-45.33,59.75,1023,20,1.00,0.00,600
2014-12-03 06:14,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,-0.16,-2.53,-14.19,56.87,1023,20,1.50,0.00,600
2014-12-03 06:15,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,-0.18,-2.26,-12.78,54.52,1023,20,2.00,0.00,600
2014-12-03 06:15,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,0.05,3.10,20.01,31.88,490,60,1.00,0.00,600
2014-12-03 06:15,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,-0.05,0.74,4.53,32.34,864,60,1.50,0.00,600
2014-12-03 06:16,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,0.01,2.68,17.09,30.86,613,60,2.00,0.00,600
2014-12-03 06:16,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,-0.12,-3.26,-17.99,48.91,1325,120,1.00,0.00,600
2014-12-03 06:16,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,-0.15,-2.80,-15.61,45.45,1325,120,1.50,0.00,600
2014-12-03 06:17,v1.0-236-g99aaf68,MT_ABX,2008-01-01,2013-12-31,1M,586245,1506,-0.01,0.77,4.66,47.03,1111,120,2.00,0.00,600
2014-12-03 06:17,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,-0.07,-0.81,-4.77,44.87,1389,20,1.00,0.00,600
2014-12-03 06:18,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,0.01,1.55,9.65,42.73,1389,20,1.50,0.00,600
2014-12-03 06:20,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,0.06,3.03,19.54,40.41,1004,20,2.00,0.00,600
2014-12-03 06:21,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,-0.15,-0.83,-4.84,48.56,1389,60,1.00,0.00,600
2014-12-03 06:21,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,-0.10,0.53,3.23,45.73,1389,60,1.50,0.00,600
2014-12-03 06:22,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,-0.17,-0.83,-4.86,47.37,1389,60,2.00,0.00,600
2014-12-03 06:22,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,-0.19,-1.63,-9.34,41.47,1378,120,1.00,0.00,600
2014-12-03 06:23,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,-0.12,-0.09,-0.52,36.10,1378,120,1.50,0.00,600
2014-12-03 06:23,v1.0-236-g99aaf68,MT_ETP,2008-01-01,2013-12-31,1M,582453,1506,-0.32,-3.95,-21.40,47.67,1368,120,2.00,0.00,600
2014-12-03 06:26,v1.0-236-g99aaf68,MT_VLO,2008-01-01,2013-12-31,1M,585583,1506,-0.02,0.57,3.46,41.69,808,20,1.00,0.00,600
2014-12-03 23:28,v1.0-237-gbf30f38,WPZ_NSH,2008-01-01,2013-12-31,1M,458376,1506,0.12,5.55,38.09,39.44,1452,60,1.00,0.00,600
2014-12-03 23:28,v1.0-237-gbf30f38,WPZ_NR,2008-01-01,2013-12-31,1M,493113,1506,0.34,-18.50,-70.55,98.80,1386,60,1.00,0.00,600
2014-12-03 23:28,v1.0-237-gbf30f38,WPZ_IOSP,2008-01-01,2013-12-31,1M,458376,1506,-0.37,-10.11,-47.11,72.61,1223,60,1.00,0.00,600
2014-12-03 23:28,v1.0-237-gbf30f38,WPZ_EROC,2008-01-01,2013-12-31,1M,458376,1506,0.13,3.72,24.38,71.06,1376,60,1.00,0.00,600
2014-12-03 23:28,v1.0-237-gbf30f38,WPZ_GTU,2008-01-01,2013-12-31,1M,458376,1506,-0.83,-100.00,-100.00,100.53,192,60,1.00,0.00,600
