BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-12-09 21:43,v1.0-238-ge66b963,MO_UNF,2008-01-01,2013-12-31,1M,585585,1506,0.12,6.07,42.23,23.57,998,60,1.00,0.00,600
2014-12-09 21:44,v1.0-238-ge66b963,MO_SNE,2008-01-01,2013-12-31,1M,585585,1506,-0.18,0.87,5.32,32.74,1422,60,1.00,0.00,600
2014-12-09 21:44,v1.0-238-ge66b963,MO_IRBT,2008-01-01,2013-12-31,1M,585585,1506,0.30,9.78,74.68,25.93,305,60,1.00,0.00,600
2014-12-09 21:44,v1.0-238-ge66b963,MO_RGR,2008-01-01,2013-12-31,1M,585585,1506,-0.03,1.87,11.70,42.05,1109,60,1.00,0.00,600
2014-12-09 21:45,v1.0-238-ge66b963,MO_XRX,2008-01-01,2013-12-31,1M,585585,1506,0.07,4.92,33.25,35.97,925,60,1.00,0.00,600
2014-12-09 21:46,v1.0-238-ge66b963,CRI_HMC,2008-01-01,2013-12-31,1M,528649,1506,-0.08,0.45,2.73,41.89,1054,60,1.00,0.00,600
2014-12-09 21:47,v1.0-238-ge66b963,CRI_PERY,2008-01-01,2013-12-31,1M,528649,1506,-0.06,-7.83,-38.58,79.79,1536,60,1.00,0.00,600
2014-12-09 21:47,v1.0-238-ge66b963,CRI_SENEA,2008-01-01,2013-12-31,1M,528649,1506,0.60,19.65,192.15,39.37,783,60,1.00,0.00,600
2014-12-09 21:47,v1.0-238-ge66b963,CRI_FLO,2008-01-01,2013-12-31,1M,528649,1506,0.36,11.80,94.74,59.87,561,60,1.00,0.00,600
2014-12-09 21:48,v1.0-238-ge66b963,CRI_SAFM,2008-01-01,2013-12-31,1M,528649,1506,0.54,16.54,149.68,41.64,441,60,1.00,0.00,600
2014-12-09 21:48,v1.0-238-ge66b963,CRI_CAJ,2008-01-01,2013-12-31,1M,528649,1506,-0.43,-9.29,-44.15,57.30,1578,60,1.00,0.00,600
2014-12-09 21:48,v1.0-238-ge66b963,CRI_AEPI,2008-01-01,2013-12-31,1M,528649,1506,-0.25,-5.92,-30.56,57.81,1188,60,1.00,0.00,600
2014-12-09 21:49,v1.0-238-ge66b963,CRI_STZ,2008-01-01,2013-12-31,1M,571482,1506,-0.48,-9.42,-44.65,55.51,1449,60,1.00,0.00,600
2014-12-09 21:49,v1.0-238-ge66b963,CRI_CCK,2008-01-01,2013-12-31,1M,558863,1506,-0.06,1.61,10.03,32.52,1032,60,1.00,0.00,600
2014-12-09 21:49,v1.0-238-ge66b963,CRI_CCU,2008-01-01,2013-12-31,1M,528649,1506,0.55,-100.00,-100.00,102.28,832,60,1.00,0.00,600
2014-12-09 21:49,v1.0-238-ge66b963,CRI_DORM,2008-01-01,2013-12-31,1M,528649,1506,0.07,-100.00,-100.00,102.44,409,60,1.00,0.00,600
2014-12-09 21:50,v1.0-238-ge66b963,CRI_WBC,2008-01-01,2013-12-31,1M,528649,1506,-0.22,-6.81,-34.41,65.71,1598,60,1.00,0.00,600
2014-12-09 21:50,v1.0-238-ge66b963,CRI_SWM,2008-01-01,2013-12-31,1M,528649,1506,-0.47,-100.00,-100.00,107.04,222,60,1.00,0.00,600
2014-12-09 21:51,v1.0-238-ge66b963,CRI_MWV,2008-01-01,2013-12-31,1M,566605,1506,-0.29,-17.87,-69.17,88.62,1338,60,1.00,0.00,600
2014-12-09 21:51,v1.0-238-ge66b963,CRI_WWW,2008-01-01,2013-12-31,1M,528649,1506,0.13,2.72,17.40,45.22,1563,60,1.00,0.00,600
2014-12-09 21:51,v1.0-238-ge66b963,CRI_THS,2008-01-01,2013-12-31,1M,528649,1506,0.57,16.10,144.06,27.88,267,60,1.00,0.00,600
2014-12-09 21:52,v1.0-238-ge66b963,CRI_EBF,2008-01-01,2013-12-31,1M,528649,1506,0.32,11.17,88.29,42.97,994,60,1.00,0.00,600
2014-12-09 21:52,v1.0-238-ge66b963,CRI_IP,2008-01-01,2013-12-31,1M,584435,1506,-0.53,-100.00,-100.00,100.53,268,60,1.00,0.00,600
2014-12-09 21:52,v1.0-238-ge66b963,CRI_LII,2008-01-01,2013-12-31,1M,528649,1506,0.34,10.38,80.46,36.55,958,60,1.00,0.00,600
2014-12-09 21:52,v1.0-238-ge66b963,CRI_SCL,2008-01-01,2013-12-31,1M,528649,1506,0.55,-100.00,-100.00,103.51,279,60,1.00,0.00,600
