BTDate,Pairs,StartDate,EndDate,BarFreq,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,lookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-11-16 19:00,FTC_SHY,2009-01-01,2013-12-31,1M,1254,-0.23,2.51,13.15,54.25,925,20,1.00,0.00,600
2014-11-16 19:01,FTC_SHY,2009-01-01,2013-12-31,1M,1254,-0.30,2.07,10.71,54.63,925,20,1.50,0.00,600
2014-11-16 19:01,FTC_SHY,2009-01-01,2013-12-31,1M,1254,0.01,3.99,21.51,39.49,925,60,1.00,0.00,600
2014-11-16 19:01,FTC_SHY,2009-01-01,2013-12-31,1M,1254,0.11,5.78,32.27,39.36,925,60,1.50,0.00,600
2014-11-16 19:02,FTC_SHY,2009-01-01,2013-12-31,1M,1254,-0.15,1.24,6.33,23.91,925,120,1.00,0.00,600
2014-11-16 19:02,FTC_SHY,2009-01-01,2013-12-31,1M,1254,-0.17,1.19,6.06,28.42,925,120,1.50,0.00,600
2014-11-16 19:03,FTC_PIN,2009-01-01,2013-12-31,1M,1254,-1.07,-9.31,-38.51,69.80,1052,20,1.00,0.00,600
2014-11-16 19:03,FTC_PIN,2009-01-01,2013-12-31,1M,1254,-1.00,-7.65,-32.69,68.72,1052,20,1.50,0.00,600
2014-11-16 19:03,FTC_PIN,2009-01-01,2013-12-31,1M,1254,-0.56,-4.16,-19.04,78.26,1052,60,1.00,0.00,600
2014-11-16 19:04,FTC_PIN,2009-01-01,2013-12-31,1M,1254,-0.68,-5.57,-24.82,77.81,1052,60,1.50,0.00,600
2014-11-16 19:04,FTC_PIN,2009-01-01,2013-12-31,1M,1254,-0.81,-8.12,-34.38,77.99,1052,120,1.00,0.00,600
2014-11-16 19:05,FTC_PIN,2009-01-01,2013-12-31,1M,1254,-0.83,-8.01,-33.99,80.04,1052,120,1.50,0.00,600
2014-11-16 19:05,FTC_IEF,2009-01-01,2013-12-31,1M,1254,0.41,9.36,56.11,52.84,951,20,1.00,0.00,600
