BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-12-19 12:40,v1.1-9-g55fca08,ELN_MAKO,2008-01-01,2013-12-31,1M,561197,1499,0.24,5.39,36.67,61.77,949,60,1.00,0.00,600
2014-12-19 12:40,v1.1-9-g55fca08,ELN_HWAY,2008-01-01,2013-12-31,1M,561197,1506,0.13,1.93,12.07,75.39,1103,60,1.00,0.00,600
2014-12-19 12:41,v1.1-9-g55fca08,ELN_NHC,2008-01-01,2013-12-31,1M,561197,1506,0.30,9.73,74.21,41.84,368,60,1.00,0.00,600
2014-12-19 12:41,v1.1-9-g55fca08,ELN_EBS,2008-01-01,2013-12-31,1M,561197,1506,0.44,-29.91,-88.04,100.90,1392,60,1.00,0.00,600
2014-12-19 12:41,v1.1-9-g55fca08,ELN_UAM,2008-01-01,2013-12-31,1M,561197,1506,0.35,14.59,125.65,68.87,1228,60,1.00,0.00,600
2014-12-19 12:42,v1.1-9-g55fca08,ELN_CSU,2008-01-01,2013-12-31,1M,561197,1506,-0.17,-20.07,-73.79,92.10,943,60,1.00,0.00,600
2014-12-19 12:42,v1.1-9-g55fca08,ELN_HITK,2008-01-01,2013-12-31,1M,561197,1506,0.27,-100.00,-100.00,100.63,172,60,1.00,0.00,600
2014-12-19 17:02,v1.1-9-g55fca08,PKI_VOLC,2008-01-01,2013-12-31,1M,550545,1506,0.31,9.63,73.27,34.89,771,60,1.00,0.00,600
2014-12-19 17:03,v1.1-9-g55fca08,PKI_IART,2008-01-01,2013-12-31,1M,550545,1506,0.47,13.27,110.59,25.39,551,60,1.00,0.00,600
2014-12-19 17:03,v1.1-9-g55fca08,PKI_WMGI,2008-01-01,2013-12-31,1M,550545,1506,0.25,8.46,62.45,30.81,698,60,1.00,0.00,600
2014-12-19 17:04,v1.1-9-g55fca08,PKI_PDLI,2008-01-01,2013-12-31,1M,564470,1506,0.39,14.61,125.95,34.00,740,60,1.00,0.00,600
2014-12-19 17:04,v1.1-9-g55fca08,PKI_USNA,2008-01-01,2013-12-31,1M,550545,1506,-0.39,-9.70,-45.64,74.44,1511,60,1.00,0.00,600
2014-12-19 17:04,v1.1-9-g55fca08,PKI_HGR,2008-01-01,2013-12-31,1M,550545,1506,0.36,10.82,84.77,22.59,386,60,1.00,0.00,600
2014-12-19 17:05,v1.1-9-g55fca08,PKI_ESC,2008-01-01,2013-12-31,1M,550545,1506,0.44,15.21,133.09,31.73,382,60,1.00,0.00,600
2014-12-19 17:05,v1.1-9-g55fca08,PKI_CMN,2008-01-01,2013-12-31,1M,550545,1506,0.06,-100.00,-100.00,103.27,845,60,1.00,0.00,600
2014-12-19 17:05,v1.1-9-g55fca08,PKI_ICUI,2008-01-01,2013-12-31,1M,550545,1506,-0.55,-7.87,-38.73,48.66,1522,60,1.00,0.00,600
2014-12-19 17:12,v1.1-9-g55fca08,EW_NHC,2008-01-01,2013-12-31,1M,545229,1506,0.13,-2.91,-16.20,76.11,735,60,1.00,0.00,600
