BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2014-12-06 14:03,v1.0-238-ge66b963,EXP_GRC,2008-01-01,2013-12-31,1M,506605,1506,-0.06,-9.19,-43.81,72.19,1180,60,1.00,0.00,600
2014-12-06 14:03,v1.0-238-ge66b963,EXP_CYD,2008-01-01,2013-12-31,1M,506605,1506,-0.30,-100.00,-100.00,110.04,163,60,1.00,0.00,600
2014-12-06 14:03,v1.0-238-ge66b963,EXP_SWHC,2008-01-01,2013-12-31,1M,506605,1506,0.17,3.53,23.07,68.16,884,60,1.00,0.00,600
2014-12-06 14:04,v1.0-238-ge66b963,EXP_SXI,2008-01-01,2013-12-31,1M,506605,1506,-0.25,-5.19,-27.28,60.00,1439,60,1.00,0.00,600
2014-12-06 14:04,v1.0-238-ge66b963,EXP_LXU,2008-01-01,2013-12-31,1M,506605,1506,-0.26,-5.08,-26.76,50.00,1575,60,1.00,0.00,600
2014-12-06 14:04,v1.0-238-ge66b963,EXP_ATRO,2008-01-01,2013-12-31,1M,506605,1506,0.04,-100.00,-100.00,104.69,190,60,1.00,0.00,600
2014-12-06 14:22,v1.0-238-ge66b963,EXP_JBT,2008-01-01,2013-12-31,1M,506605,1506,0.29,9.88,75.64,42.99,572,60,1.00,0.00,600
2014-12-06 14:23,v1.0-238-ge66b963,EXP_HW,2008-01-01,2013-12-31,1M,506605,1506,-0.21,-8.02,-39.31,68.45,1427,60,1.00,0.00,600
2014-12-06 14:23,v1.0-238-ge66b963,EXP_GFF,2008-01-01,2013-12-31,1M,506605,1506,-0.25,-4.17,-22.48,59.33,1297,60,1.00,0.00,600
2014-12-06 14:24,v1.0-238-ge66b963,EXP_NX,2008-01-01,2013-12-31,1M,506605,1506,0.46,25.01,279.70,37.90,614,60,1.00,0.00,600
2014-12-06 14:24,v1.0-238-ge66b963,EXP_TASR,2008-01-01,2013-12-31,1M,506605,1506,-0.28,-9.70,-45.64,74.97,1333,60,1.00,0.00,600
2014-12-06 14:24,v1.0-238-ge66b963,EXP_FIX,2008-01-01,2013-12-31,1M,506605,1506,0.28,9.35,70.56,35.57,716,60,1.00,0.00,600
2014-12-06 14:25,v1.0-238-ge66b963,EXP_ALG,2008-01-01,2013-12-31,1M,506605,1506,0.67,22.60,237.93,39.26,541,60,1.00,0.00,600
2014-12-06 14:25,v1.0-238-ge66b963,EXP_ECOL,2008-01-01,2013-12-31,1M,506605,1506,-0.04,1.08,6.60,46.84,689,60,1.00,0.00,600
2014-12-06 14:26,v1.0-238-ge66b963,EXP_AVAV,2008-01-01,2013-12-31,1M,506605,1506,-0.25,-8.03,-39.35,63.53,654,60,1.00,0.00,600
2014-12-06 14:44,v1.0-238-ge66b963,EXP_MYRG,2008-01-01,2013-12-31,1M,506605,1506,0.34,11.17,88.33,42.27,587,60,1.00,0.00,600
2014-12-06 14:44,v1.0-238-ge66b963,EXP_CVCO,2008-01-01,2013-12-31,1M,506605,1506,0.12,4.29,28.52,40.63,605,60,1.00,0.00,600
2014-12-06 14:45,v1.0-238-ge66b963,EXP_MHO,2008-01-01,2013-12-31,1M,506605,1506,0.57,19.55,190.68,35.67,268,60,1.00,0.00,600
2014-12-06 14:45,v1.0-238-ge66b963,EXP_DAKT,2008-01-01,2013-12-31,1M,506605,1506,0.18,5.66,38.99,64.38,973,60,1.00,0.00,600
2014-12-06 14:45,v1.0-238-ge66b963,EXP_NC,2008-01-01,2013-12-31,1M,506605,1506,0.43,12.77,105.09,88.36,1520,60,1.00,0.00,600
2014-12-06 14:46,v1.0-238-ge66b963,EXP_UFI,2008-01-01,2013-12-31,1M,506605,1506,0.19,5.70,39.25,51.61,637,60,1.00,0.00,600
2014-12-06 14:46,v1.0-238-ge66b963,EXP_BZH,2008-01-01,2013-12-31,1M,538177,1506,-0.23,-1.28,-7.40,41.23,1400,60,1.00,0.00,600
2014-12-06 16:50,v1.0-238-ge66b963,TTC_GLDD,2008-01-01,2013-12-31,1M,447827,1506,-0.05,1.31,8.07,36.57,1213,60,1.00,0.00,600
2014-12-06 16:51,v1.0-238-ge66b963,TTC_CAS,2008-01-01,2013-12-31,1M,447827,1506,-0.19,-2.95,-16.39,45.61,1559,60,1.00,0.00,600
