BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,LookbackWindow,EntryZScore,ExitZScore,ZScoreEvalFreq
2015-01-01 18:37,v1.1-19-g01d9262,AWK_UIL,2008-01-01,2013-12-31,1M,509841,1506,0.71,15.70,139.04,18.84,149,60,1.00,0.00,600
2015-01-01 18:56,v1.1-19-g01d9262,AWK_UNS,2008-01-01,2013-12-31,1M,509841,1506,1.18,22.25,232.23,11.49,199,60,1.00,0.00,600
2015-01-01 19:15,v1.1-19-g01d9262,AWK_UTL,2008-01-01,2013-12-31,1M,509841,1506,0.51,12.23,99.31,19.44,265,60,1.00,0.00,600
2015-01-01 19:36,v1.1-19-g01d9262,AWK_VVC,2008-01-01,2013-12-31,1M,509841,1506,0.63,12.92,106.73,13.37,160,60,1.00,0.00,600
2015-01-01 19:55,v1.1-19-g01d9262,AWK_WEC,2008-01-01,2013-12-31,1M,561544,1506,0.31,11.98,96.67,34.81,619,60,1.00,0.00,600
2015-01-01 20:19,v1.1-19-g01d9262,AWK_WGL,2008-01-01,2013-12-31,1M,509841,1506,0.41,9.98,76.52,11.36,451,60,1.00,0.00,600
2015-01-01 20:39,v1.1-19-g01d9262,AWK_WR,2008-01-01,2013-12-31,1M,545371,1506,0.82,15.83,140.68,13.25,459,60,1.00,0.00,600
2015-01-01 20:57,v1.1-19-g01d9262,AWK_WTR,2008-01-01,2013-12-31,1M,528385,1506,0.27,7.95,57.99,18.74,800,60,1.00,0.00,600
2015-01-01 21:16,v1.1-19-g01d9262,AWK_XEL,2008-01-01,2013-12-31,1M,576636,1506,1.00,16.92,154.48,9.90,290,60,1.00,0.00,600
2015-01-01 21:37,v1.1-19-g01d9262,AWR_BIP,2008-01-01,2013-12-31,1M,301878,1506,0.45,14.14,120.41,34.15,1524,60,1.00,0.00,600
2015-01-01 21:38,v1.1-19-g01d9262,AWR_BKH,2008-01-01,2013-12-31,1M,440492,1506,0.42,12.12,98.08,30.20,1288,60,1.00,0.00,600
2015-01-01 21:38,v1.1-19-g01d9262,AWR_CLNE,2008-01-01,2013-12-31,1M,528563,1506,0.16,5.72,39.46,51.67,527,60,1.00,0.00,600
2015-01-01 21:38,v1.1-19-g01d9262,AWR_CMS,2008-01-01,2013-12-31,1M,575307,1506,0.08,5.12,34.77,31.13,1180,60,1.00,0.00,600
2015-01-01 21:38,v1.1-19-g01d9262,AWR_CNL,2008-01-01,2013-12-31,1M,471303,1506,0.59,15.38,135.13,19.26,281,60,1.00,0.00,600
2015-01-01 21:39,v1.1-19-g01d9262,AWR_CNP,2008-01-01,2013-12-31,1M,577986,1506,-0.02,2.95,18.97,40.41,1287,60,1.00,0.00,600
2015-01-01 21:39,v1.1-19-g01d9262,AWR_CPK,2008-01-01,2013-12-31,1M,301878,1506,0.50,14.40,123.41,22.24,387,60,1.00,0.00,600
2015-01-01 21:39,v1.1-19-g01d9262,AWR_CPL,2008-01-01,2013-12-31,1M,404936,1506,0.25,5.37,36.70,70.68,694,60,1.00,0.00,600
2015-01-01 22:04,v1.1-19-g01d9262,AWR_CPN,2008-01-01,2013-12-31,1M,557332,1506,0.05,3.59,23.47,47.18,1342,60,1.00,0.00,600
2015-01-01 22:11,v1.1-19-g01d9262,AWR_CTWS,2008-01-01,2013-12-31,1M,301878,1506,0.92,24.59,272.06,25.58,221,60,1.00,0.00,600
2015-01-01 22:12,v1.1-19-g01d9262,AWR_CWCO,2008-01-01,2013-12-31,1M,301878,1506,0.47,15.61,137.99,35.39,586,60,1.00,0.00,600
2015-01-01 22:12,v1.1-19-g01d9262,AWR_CWT,2008-01-01,2013-12-31,1M,344243,1506,0.25,8.42,62.13,23.83,938,60,1.00,0.00,600
2015-01-01 22:13,v1.1-19-g01d9262,AWR_D,2008-01-01,2013-12-31,1M,582061,1506,0.19,7.32,52.55,22.86,851,60,1.00,0.00,600
2015-01-01 22:13,v1.1-19-g01d9262,AWR_DTE,2008-01-01,2013-12-31,1M,564253,1506,0.06,4.56,30.53,39.98,1284,60,1.00,0.00,600
2015-01-01 22:14,v1.1-19-g01d9262,AWR_DUK,2008-01-01,2013-12-31,1M,584844,1506,0.14,6.28,43.89,22.86,925,60,1.00,0.00,600
2015-01-01 22:15,v1.1-19-g01d9262,AWR_ED,2008-01-01,2013-12-31,1M,579445,1506,0.10,5.62,38.63,33.54,1035,60,1.00,0.00,600
2015-01-01 22:15,v1.1-19-g01d9262,AWR_EDE,2008-01-01,2013-12-31,1M,361863,1506,0.25,8.80,65.58,20.69,883,60,1.00,0.00,600
2015-01-01 22:15,v1.1-19-g01d9262,AWR_EE,2008-01-01,2013-12-31,1M,406266,1506,0.17,6.91,49.08,23.08,889,60,1.00,0.00,600
2015-01-01 22:16,v1.1-19-g01d9262,AWR_EIX,2008-01-01,2013-12-31,1M,578577,1506,0.38,11.74,94.09,22.42,357,60,1.00,0.00,600
2015-01-01 22:16,v1.1-19-g01d9262,AWR_ELP,2008-01-01,2013-12-31,1M,476895,1506,-0.36,-6.11,-31.40,67.98,1561,60,1.00,0.00,600
2015-01-01 22:16,v1.1-19-g01d9262,AWR_ENI,2008-01-01,2013-12-31,1M,478638,1506,0.18,7.06,50.36,46.47,1267,60,1.00,0.00,600
2015-01-01 22:17,v1.1-19-g01d9262,AWR_EOC,2008-01-01,2013-12-31,1M,301878,1506,0.37,13.14,109.09,54.63,842,60,1.00,0.00,600
2015-01-01 22:17,v1.1-19-g01d9262,AWR_EQT,2008-01-01,2013-12-31,1M,573290,1506,0.66,18.84,180.53,33.86,278,60,1.00,0.00,600
2015-01-01 22:17,v1.1-19-g01d9262,AWR_ETR,2008-01-01,2013-12-31,1M,574021,1506,0.14,6.25,43.64,24.75,689,60,1.00,0.00,600
2015-01-01 22:18,v1.1-19-g01d9262,AWR_EXC,2008-01-01,2013-12-31,1M,584887,1506,0.17,7.03,50.12,35.03,386,60,1.00,0.00,600
2015-01-01 22:18,v1.1-19-g01d9262,AWR_FE,2008-01-01,2013-12-31,1M,582007,1506,0.24,8.57,63.45,36.19,718,60,1.00,0.00,600
2015-01-01 22:18,v1.1-19-g01d9262,AWR_GAS,2008-01-01,2013-12-31,1M,456186,1506,0.37,11.46,91.27,25.05,841,60,1.00,0.00,600
2015-01-01 22:19,v1.1-19-g01d9262,AWR_GXP,2008-01-01,2013-12-31,1M,538590,1506,0.23,8.24,60.55,20.47,1014,60,1.00,0.00,600
2015-01-01 22:19,v1.1-19-g01d9262,AWR_HE,2008-01-01,2013-12-31,1M,487537,1506,-0.16,-1.09,-6.35,52.72,1308,60,1.00,0.00,600
2015-01-01 22:19,v1.1-19-g01d9262,AWR_HNP,2008-01-01,2013-12-31,1M,320082,1506,0.43,13.13,109.00,30.46,720,60,1.00,0.00,600
2015-01-01 22:20,v1.1-19-g01d9262,AWR_IDA,2008-01-01,2013-12-31,1M,435750,1506,0.10,5.67,39.01,27.16,1358,60,1.00,0.00,600
2015-01-01 22:20,v1.1-19-g01d9262,AWR_ITC,2008-01-01,2013-12-31,1M,459153,1506,-0.35,-3.83,-20.79,50.66,545,60,1.00,0.00,600
2015-01-01 22:20,v1.1-19-g01d9262,AWR_KEP,2008-01-01,2013-12-31,1M,476742,1506,0.45,13.29,110.82,21.13,482,60,1.00,0.00,600
2015-01-01 22:20,v1.1-19-g01d9262,AWR_LG,2008-01-01,2013-12-31,1M,318918,1506,0.23,8.29,60.95,26.40,593,60,1.00,0.00,600
2015-01-01 22:21,v1.1-19-g01d9262,AWR_LNT,2008-01-01,2013-12-31,1M,522690,1506,0.28,9.31,70.23,22.41,1194,60,1.00,0.00,600
2015-01-01 22:21,v1.1-19-g01d9262,AWR_MGEE,2008-01-01,2013-12-31,1M,301878,1506,0.17,7.08,50.53,18.63,609,60,1.00,0.00,600
2015-01-01 22:21,v1.1-19-g01d9262,AWR_MSEX,2008-01-01,2013-12-31,1M,301878,1506,0.38,11.86,95.37,20.87,757,60,1.00,0.00,600
2015-01-01 22:22,v1.1-19-g01d9262,AWR_NEE,2008-01-01,2013-12-31,1M,581902,1506,0.62,16.45,148.40,17.84,192,60,1.00,0.00,600
2015-01-01 22:22,v1.1-19-g01d9262,AWR_NFG,2008-01-01,2013-12-31,1M,512493,1506,0.01,3.41,22.16,30.02,1473,60,1.00,0.00,600
2015-01-01 22:22,v1.1-19-g01d9262,AWR_NGG,2008-01-01,2013-12-31,1M,419703,1506,0.37,11.31,89.70,20.47,822,60,1.00,0.00,600
2015-01-01 22:23,v1.1-19-g01d9262,AWR_NI,2008-01-01,2013-12-31,1M,575730,1506,0.15,6.59,46.43,40.82,1199,60,1.00,0.00,600
2015-01-01 22:23,v1.1-19-g01d9262,AWR_NJR,2008-01-01,2013-12-31,1M,411287,1506,0.09,5.13,34.83,39.79,1503,60,1.00,0.00,600
2015-01-01 22:24,v1.1-19-g01d9262,AWR_NRG,2008-01-01,2013-12-31,1M,579677,1506,-0.07,1.91,11.96,31.55,1174,60,1.00,0.00,600
2015-01-01 22:24,v1.1-19-g01d9262,AWR_NU,2008-01-01,2013-12-31,1M,568885,1506,0.48,13.90,117.70,17.25,574,60,1.00,0.00,600
2015-01-01 22:43,v1.1-19-g01d9262,AWR_NVE,2008-01-01,2013-12-31,1M,472785,1506,0.21,7.64,55.25,16.57,907,60,1.00,0.00,600
2015-01-01 22:43,v1.1-19-g01d9262,AWR_NWE,2008-01-01,2013-12-31,1M,378382,1506,0.25,8.62,63.88,21.33,1354,60,1.00,0.00,600
2015-01-01 22:44,v1.1-19-g01d9262,AWR_NWN,2008-01-01,2013-12-31,1M,334387,1506,0.30,9.84,75.18,48.31,955,60,1.00,0.00,600
2015-01-01 22:44,v1.1-19-g01d9262,AWR_OGE,2008-01-01,2013-12-31,1M,511625,1506,0.12,5.61,38.56,32.31,1266,60,1.00,0.00,600
2015-01-01 22:44,v1.1-19-g01d9262,AWR_OKE,2008-01-01,2013-12-31,1M,561585,1506,0.18,5.12,34.79,72.01,1137,60,1.00,0.00,600
2015-01-01 22:45,v1.1-19-g01d9262,AWR_ORA,2008-01-01,2013-12-31,1M,374259,1506,-0.03,2.17,13.66,37.37,1671,60,1.00,0.00,600
2015-01-01 22:45,v1.1-19-g01d9262,AWR_OTTR,2008-01-01,2013-12-31,1M,311620,1506,0.48,14.27,121.97,26.66,418,60,1.00,0.00,600
2015-01-01 22:46,v1.1-19-g01d9262,AWR_PCG,2008-01-01,2013-12-31,1M,580543,1506,0.37,11.88,95.55,25.88,562,60,1.00,0.00,600
2015-01-01 22:46,v1.1-19-g01d9262,AWR_PNM,2008-01-01,2013-12-31,1M,502128,1506,0.13,5.95,41.23,34.61,1261,60,1.00,0.00,600
2015-01-01 22:47,v1.1-19-g01d9262,AWR_PNW,2008-01-01,2013-12-31,1M,549444,1506,-0.03,2.58,16.45,33.26,1162,60,1.00,0.00,600
2015-01-01 22:47,v1.1-19-g01d9262,AWR_PNY,2008-01-01,2013-12-31,1M,460953,1506,-0.09,1.60,9.97,36.06,1412,60,1.00,0.00,600
2015-01-01 22:48,v1.1-19-g01d9262,AWR_POM,2008-01-01,2013-12-31,1M,571068,1506,0.32,10.42,80.80,30.10,1142,60,1.00,0.00,600
2015-01-01 22:48,v1.1-19-g01d9262,AWR_POR,2008-01-01,2013-12-31,1M,506569,1506,0.64,17.46,161.68,17.89,528,60,1.00,0.00,600
2015-01-01 22:48,v1.1-19-g01d9262,AWR_PPL,2008-01-01,2013-12-31,1M,582224,1506,0.47,13.47,112.84,19.70,249,60,1.00,0.00,600
